,tweet_id,text,allan,michael,shameek,tevin,Number of labelers,mode,mode occurrences,label-am,label-as,label-at,label-ms,label-mt,label-st,label-ams,label-amt,label-ast,label-mst,label-all,label-scale,label-mtscale
10,1495470985893535751,Just some of the highly specialized training that members undergo to benefit the people of in times of extreme weather events. See this grueling training firsthand in video: ,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,,irrelevant or no opinion on climate change
11,1488121870436212736,All major phone brands  my Google Pixel 6 Pro didn't come with a charging block either. Just the charge lead. Something about climate change and wasting less  think it takes the mick that they charge us more and give us less though. ,neutral to climate change,neutral to climate change,slightly agree with climate change,slightly agree with climate change,4,neutral to climate change,2,neutral to climate change,,,,,slightly agree with climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,slightly agree with climate change,neutral to climate change,,
12,1456391399490850827,RT They are masking COWS now for climate change. I'm done. ,neutral to climate change,slightly disagree with climate change,strongly disagree with climate change,slightly agree with climate change,4,slightly disagree with climate change,1,,,,,,,,,,,,,
13,1463919536902574086,"Respectfully, ""converging with other threats"" is doing a huge amount of work here. There is no actual trend data. And once you start counting displacement in places like Afghanistan, after 40 years of civil war, toward the climate emergency, I'm not sure what wouldn't count...",slightly agree with climate change,slightly disagree with climate change,slightly disagree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,,,slightly agree with climate change,slightly disagree with climate change,,,slightly disagree with climate change,slightly agree with climate change,slightly agree with climate change,slightly disagree with climate change,slightly agree with climate change,,
14,1473373327435517952,"Gonna take awhile, buy climate change, and fascism, will do this for us eventually. ",neutral to climate change,slightly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,slightly agree with climate change,2,,,,slightly agree with climate change,,,slightly agree with climate change,,,slightly agree with climate change,slightly agree with climate change,,
15,1444723382361153552,Unbearable to think it's our wreckless species that is responsible for that! #COP26 leaders! We don't need pretty words! We need drastic actions! Ban fossil fuels investment! Ban private aviation! Tax frequent flyers! Invest in green technology! @BorisJohnson,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
16,1513153230041190406,A Maryland family replaced their grass lawn with a native plant garden. Their HOA demanded they destroy it and replant the grass. They refused. Their battle has led to the passage of a new law that forbids HOAs in the state from requiring grass. ,irrelevant or no opinion on climate change,slightly agree with climate change,neutral to climate change,neutral to climate change,4,neutral to climate change,2,,,,,,neutral to climate change,,,neutral to climate change,neutral to climate change,neutral to climate change,,
17,1471203158311452685,Climate change is a hoax just like Covid. It's all about rape and torture of innocent children!,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,4,strongly disagree with climate change,4,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,,strongly disagree with climate change
18,1475595464565268481,Unfortunately Climate Change falls through the cracks of any Government. This is because the voters will not see any benefit instantly and will likely be only felt once the next Government is installed. What we need is a plan that is agreed by all over much more than 5 yrs...,neutral to climate change,strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,2,,,,,strongly agree with climate change,,,strongly agree with climate change,,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
19,1499064962853003265,"toxic FOSSIL FUELS create 6000 byproducts: chemicals, plastics, pavement, cloth, etc = CANCER Use LESS toxic FOSSIL FUELS = Less CANCER Imagine & create EVERYTHING without FOSSIL FUELS. = No Oil Shortage ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
20,1494294833971843075,"So the UK's increasingly authoritarian, antidemocratic & anti-free-speech Government is to ORDER teachers to 'avoid political bias' in classrooms - they do know colonialism, slavery, climate change, inequality, & Nazism are political issues, right? RIGHT? ",neutral to climate change,slightly agree with climate change,slightly agree with climate change,neutral to climate change,4,neutral to climate change,2,,,neutral to climate change,slightly agree with climate change,,,slightly agree with climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,neutral to climate change,,
21,1480209049375281154,"Hydrology Paper of the Day @SaraAzadiiC on climate change in the Zayandeh-Rud River Basin of Iran: wetland remote sensing characterization using NDWI, NDVI, and land surface temperature; spatiotemporal trend analyses; and statistical relationships between temperature and dryness ",irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,strongly agree with climate change,neutral to climate change,4,irrelevant or no opinion on climate change,2,irrelevant or no opinion on climate change,,,,,,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,,,irrelevant or no opinion on climate change,,
22,1509888992828960773,It's pretty simple. You can't keep breaking promises & ignoring literal extinction level problems and expect the people who will most be affected to be excited to vote for you or your party.,irrelevant or no opinion on climate change,slightly agree with climate change,slightly agree with climate change,irrelevant or no opinion on climate change,4,slightly agree with climate change,2,,,irrelevant or no opinion on climate change,slightly agree with climate change,,,slightly agree with climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,slightly agree with climate change,slightly agree with climate change,,
23,1508846202346999808,"With your help, we can #EndExtremePovertyNOW and ensure that the world's poorest are better prepared to withstand future shocks  be it another pandemic, a heartbreaking war, or the climate crisis. Our future can't wait. Join us and start taking action: ",strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,,strongly agree with climate change,strongly agree with climate change,,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,
24,1507855183132643329,"According to UNCCD, 90% of Earth's soil could be degraded by 2050. If soil extinction is not averted, we will lose the very basis of our food, water, & air. There is still time to avoid the worst if we come together to #SaveSoil Act Now:https://t.co/Nni7DvMYAO #ConsciousPlanet",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
25,1484533145483501568,"Don't tell me that bold action to avert the climate crisis is too expensive while greenlighting the $778,000,000,000 annual Pentagon budget.",strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
26,1511777847861563393,I can say and think anything I want. Climate change predictions have been consistently wrong,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,slightly disagree with climate change,4,strongly disagree with climate change,3,strongly disagree with climate change,strongly disagree with climate change,,strongly disagree with climate change,,,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,,
27,1501668536380321794,Floods are a side effect of climate change. They get worse as we keep failing to act fast enough. Morrison is trying to frame this as a freak accident that nobody could have predicted. #ClimateCrisis #ClimateActionNow #auspol #ScottyDoesNothing #ScottyTooLate,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
28,1501977150043262995,Russia's attack on Ukraine woke up the world to the threat of a nuclear plant's exposure to catastrophic fire. The climate crisis has put one of America's largest nuclear weapons facilities into the same kind of danger. We've got to #StopInvestingInDestruction now. ,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
29,1515107734055706635,Many birds were hunted to almost extinction for hats during Victorian era.,neutral to climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,3,,,,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,,irrelevant or no opinion on climate change
30,1478491882250547200,Thousands of dead starfish wash ashore on Pembrokeshire coast after stormy weather ,neutral to climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,neutral to climate change,4,neutral to climate change,2,,,neutral to climate change,irrelevant or no opinion on climate change,,,irrelevant or no opinion on climate change,neutral to climate change,neutral to climate change,irrelevant or no opinion on climate change,neutral to climate change,,
31,1513611905276948484,Santos reps in the Native Title Tribunal are seriously arguing that their massive coal seam gas project in the Pilliga will not contribute to global warming This entire project is insane. Shame on Santos and the Liberals pushing ahead with attempts to smash Gomeroi rights,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
32,1503102049461760001,Aren't most Europeans green - concerned about climate change? Where are they and why are they not willing to make necessary sacrifices to stick to their available sustainable energy? Reduce dependence on Russian oil/natural gas and help Ukraine?,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,strongly agree with climate change,2,strongly agree with climate change,,,,,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,strongly agree with climate change,,
33,1491889591984566272,"Visualiazing Climate Change - from a machine's perspective. A blend between #dataviz and #art, made with #deeplearning. Hope you love it as much as I do! #dataart ",slightly agree with climate change,neutral to climate change,neutral to climate change,neutral to climate change,4,neutral to climate change,3,,,,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,,neutral to climate change
34,1436452685834698756,"I don't know. Probably Oregon, but they're under siege from fires. Climate change is a beast. I think I would definitely have to move north.",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
35,1445826845547638786,"RT Climate change is a ""huge threat"" to humanity and it is very important for governments to take action as quickly as possible, Italian physics Nobel prize winner Giorgio Parisi told reporters on Tuesday. ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
36,1504588256427524104,"Stunning and brave: anti-oil climate change protester zip ties himself to a goalpost at a Premier League football match, bringing a halt to the game. ",strongly agree with climate change,strongly agree with climate change,neutral to climate change,strongly agree with climate change,4,strongly agree with climate change,3,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
37,1503784856349724672,Carbon capture and storage is nothing but fossil fuel industry propaganda to allow them to keep burning fossil fuels. It's ridiculously expensive to the point of not being worth it at all. It's always been a complete scam. ,slightly agree with climate change,strongly agree with climate change,neutral to climate change,neutral to climate change,4,neutral to climate change,2,,,,,,neutral to climate change,,,neutral to climate change,neutral to climate change,neutral to climate change,,
38,1439015868550324231,"RT The fossil fuel industry waged a massive covert campaign to deny the truth of climate change and to obstruct climate action. Now, House Oversight will dig into that crooked campaign. We lost a decade to fossil fuel lies and bullying, and they need to own what they did.",strongly agree with climate change,strongly disagree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,,strongly agree with climate change,strongly agree with climate change,,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,
39,1494450159446638593,Turns out it was the wrong kind of wind due to climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,neutral to climate change,,,,,slightly agree with climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,
40,1517587577242460160,"People that say overhead catenary wires are ""ugly"" confuse me so much. You know what's uglier than wires? Dying from climate change...",strongly agree with climate change,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,3,,strongly agree with climate change,strongly agree with climate change,,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,
41,1498425802702360579,Did I miss the words climate change on 7.30 Report? Must have!,neutral to climate change,irrelevant or no opinion on climate change,neutral to climate change,neutral to climate change,4,neutral to climate change,3,,neutral to climate change,neutral to climate change,,,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,,
42,1453109854403534851,RT Part of the deal with the Nationals in relation to Net Zero 2050 is that they have agreed to believe in climate change by 2040,neutral to climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,3,,,,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,slightly agree with climate change
43,1464965655959154692,"It's unnoticed by more people than just the premier, mostly because there is no climate crisis or emergency. It's purely manufactured BS by climate alarmists.",strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,4,strongly disagree with climate change,4,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,strongly disagree with climate change,,strongly disagree with climate change
44,1446189963876306963,"This past summer has shown what the climate crisis means for BC moving forward. The should eliminate every single cent given to fossil fuel corporations in royalties and credits, immediately. We don't really have time for ""first steps."" #bcpoli #climatecrisis ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
45,1450928024086515712,"RT Please join us for ""Decolonising climate change narratives on Africa"" to learn about African Knowledges for #COP26. 4 Nov. 45:30pm via MS Teams. Please check our website for more details and to register: @PriestleyCentre",neutral to climate change,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,,,,,,slightly agree with climate change,,,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,
46,1467960197876486150,RT Salisbury Mayor and U.S. Senator Chris Van Hollen address the recently enacted Infrastructure Investment and Jobs Act in flood mitigation and climate change in Salisbury. ,neutral to climate change,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,,,,,,slightly agree with climate change,,,slightly agree with climate change,slightly agree with climate change,slightly agree with climate change,,
47,1505544999064252420,No words. --> European Union Has Paid Russia $16 Billion for Fossil Fuels Since #Ukraine War Started. ,slightly agree with climate change,slightly agree with climate change,neutral to climate change,neutral to climate change,4,slightly agree with climate change,2,slightly agree with climate change,,,,,neutral to climate change,slightly agree with climate change,slightly agree with climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,,
48,1492538220210442245,"""This is how we stop climate breakdown. But it won't happen on its own. Asking politely for the ruling class to act is not going to cut it. It will require an extraordinary struggle against those who benefit so prodigiously from the status quo."" ",slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,4,slightly agree with climate change,2,,,slightly agree with climate change,strongly agree with climate change,,,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,strongly agree with climate change,slightly agree with climate change,,
49,1501282769913237514,"If we had listened to Jimmy Carter in the 1970s, America could've been the world leader in Green Energy. This would have greatly helped curtail Climate Change, stopped our Russian & Middle Eastern enemies from getting rich, and possibly avoided many disastrous wars. Tragic.",strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,strongly agree with climate change,4,slightly agree with climate change,2,,,strongly agree with climate change,slightly agree with climate change,,,slightly agree with climate change,strongly agree with climate change,strongly agree with climate change,slightly agree with climate change,slightly agree with climate change,,
50,1513578828744228864,"Fighting climate change will not only help in preventing natural disasters but it will, in the long-term, improve the quality of life of our citizens, help tourism as well as protect businesses. #EPPLocalDialogue ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
51,1514730366552395778,"Finnish Extinction Rebellion () and activists are still blocking a train carrying Russian coal, which accelerates climate catastrophe and whose profits maintain Putin's war machine. Full support! ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
52,1482743043182981121,Farts being responsible for global warming sounds more reasonable than IPL being blamed for Ashes loss #Ashes Root ,neutral to climate change,neutral to climate change,neutral to climate change,slightly agree with climate change,4,neutral to climate change,3,neutral to climate change,neutral to climate change,,neutral to climate change,,,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,neutral to climate change,,
53,1487045512582864914,"When you understand even a portion of the scale of the consequences of climate change, you quickly lose all patience with high-profile climate deniers and climate misinformation.",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
54,1443701182044717057,"That's after 14 years of cuts and austerity already, and with a vast national debt, huge personal debt, and no national assets left to sell off. Plus climate change to pay for. Something radical needs to be done to give the economy a kick.",neutral to climate change,slightly agree with climate change,slightly agree with climate change,slightly disagree with climate change,4,slightly agree with climate change,2,,,,slightly agree with climate change,,,slightly agree with climate change,,,slightly agree with climate change,slightly agree with climate change,,
55,1494450763648704514,"This is something I am very worried about. Climate change is causing more frequent disasters and disease outbreaks. In response, the rich and powerful will continue to normalize higher and higher rates of death and suffering. We must speak up now. ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
56,1487139321438248966,"BREAKING: The D.C. District Court revokes a decision to offer 80 million acres in the Gulf of Mexico for oil and gas leasing, marking a pivotal victory in the fight to defend Gulf communities and the planet from the worsening climate crisis. ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly disagree with climate change,4,strongly agree with climate change,3,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change,,,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,
57,1465431424350183431,i dont support extinction but this is one thing i think we agree on... force users should not be trusted!,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,4,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,irrelevant or no opinion on climate change,,irrelevant or no opinion on climate change
58,1488603990866620416,"Today, in a full page ad in the organized by joined 24 other leading businesses across the economy calling on the federal government to ACT NOW on the climate crisis. We have the solutionsand no time to waste. ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
59,1444028311429128194,"RT Buy less plastic & reusable shopping bag.Use long-lasting light bulbs,Energy efficient light bulbs to reduce greenhouse gas emissions.Volunteer, educate, conserve water & plant trees. #FridaysForFuture #fridays4future #ClimateAction #ClimateStrike #SDGs #climate ",strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,4,strongly agree with climate change,4,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,strongly agree with climate change,,strongly agree with climate change
