,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,label
43,43,43,43,43,43,43,4,I'm very LGBT supportive so that's okay with me stop being gay,-1
44,44,44,44,44,44,44,178,I have to admit that Islam thought us to be homophobic so I cant do anything abt my sexuality ,1
45,45,45,45,45,45,45,680,What data or research has been done to show that males do not have a physiological and biological advantage over females in sports? What data is being used to drive these decisions? If the is advocating for eliminating sex segregated sports there should be data to support.,1
46,46,46,46,46,46,46,718,These types of questions from our kids should be answered by the parents. I can barely trust schools as it is. I wouldnt want them trying to teach my kid about this stuff. Mind you I have nothing at all against the LGBTQ+ community. Its just not a schools place to do my job.,0
47,47,47,47,47,47,47,793,Last year during #Pride month I did some threads about LGBTQ+ characters in Marvel and DC comics. Theres loads more I could talk about. Should I do it again this year? ,-1
48,48,48,48,48,48,48,768,"RT I don't expect corporations to be my friend. They're profit driven ventures that will do and say whatever will make them more money. But at the barest minimum, I'd expect Disney to refrain from funding homophobic policy while, in the same breath, selling us pride merch",-1
49,49,49,49,49,49,49,682,RT Mandalay coalition strike &LGBT strike marched to overthrow military dictatorship today. Protestors chanted revolutionary Sologans. #WhatsHappeningInMyanmar #Nov22Coup ,-1
50,50,50,50,50,50,50,183,"Last night in our work place another member of the LGBT community. ...a gentleman from the U.K showed us why the LGBT community are so ""PROUD"" to be what they are. This Tourist sexually harassed a male member of our staff even though he was clearly asked to stop touching him",2
51,51,51,51,51,51,51,797,RT Today for #PrideMonth we want to acknowledge Angel Maxine (a Black trans musician from Ghana who uses her music and social media platform to advance the liberation of LGBTQ folks in Ghana. ,-2
52,52,52,52,52,52,52,154,"RT insulting and absolutely disgusting. You're using a term that is used for something that ruins lives--being LGBTQ+ does NOT ruin anyone's life. Again, I knew I was bi way before I was taken advantage of. I had the inkling of feeling different when I was around 11.",-1
53,53,53,53,53,53,53,988,Have you been able to complete the online consultation? We're able to help/answer questions on how you might do this from an affirming and LGBT+ Christian perspective. Get in touch if you'd value support! #BanConversionTherapy ,-1
54,54,54,54,54,54,54,956,"RT Judith Kasen-Windsor, widow of Hamptons civil rights icon Edie Windsor discusses Edie's Backyard BBQ, her healthcare center and her legacy for LGBTQ+ community. ",-1
55,55,55,55,55,55,55,877,RT Butterflies in my stomach keep growing se were getting closer and closer to my trip to get my ancestral markings!!! I only received enough just for one taxi trip to the airport shuttle office. I paid for the rest of it ojt of pocket. LGBT allies & white people spread cheer today! ,-1
56,56,56,56,56,56,56,884,RT Kim Burrell really stood there with her 5 minute weave and this microphone and really thought it was funky fresh and cool to tell this congregation that LGBTQ stood for let god be true quickly...,-1
57,57,57,57,57,57,57,648,But thats because you only see those politicians for their anti lgbtq so that is your priority.,1
58,58,58,58,58,58,58,848,"RT Today is International Day Against Homophobia, Biphobia & Transphobia. This years theme is OUR BODIES OUR LIVES OUR RIGHTS. We are a safe space for #LGBTQ + footballers & fans - we must continue to raise awareness for the battles faced by LGBTQ+ people. #IDAHOBIT2022 | #gfsn ",-1
59,59,59,59,59,59,59,764,It is bigotry. Facts don't care about your feelings Muslims in the US have higher support of LGBTQ rights than evangelicals. Are you seriously arguing people from ME immigrate here specifically to kill gay people?,-1
60,60,60,60,60,60,60,635,"RT (For me, this action is centered today on the hateful legislation targeting LGBTQIA+ folks, but also encompasses the racist and homophobic book banning at the local and state level across America by the right-wing.)",-2
61,61,61,61,61,61,61,396,"RT No, not scolded. But shunned as if being monogamous is the outlier in LGBTQ+ relationships. People don't want to interact if they can't have the potential of having sex with you. Not all but i've felt this with many.",-1
62,62,62,62,62,62,62,756,And you know what is so disgusting about it that he is gay and he completely ignores how #CCP suppress #LGBT activists in #China.,-1
63,63,63,63,63,63,63,973,"Being that you said all of that, you failed to understand that Netflix gave him a platform to tell transphobic jokes and that company is causing harm. As for Dave Chappelle goes, he is ignorant when it comes to LGBTQ community and his jokes about the community are not funny",-2
64,64,64,64,64,64,64,976,Wed like to take this moment to recognize a few of the many organizations doing important work in our local communities: Centro Cultural de la Raza Chicano Park Steering Committee Chicano Federation of San Diego County Latino Outdoors SD LGBTQ Latinx Coalition,-2
65,65,65,65,65,65,65,207,"RT Come up with a better word to describe your sexual orientation ""lesbians"". The men have arrived. ",1
66,66,66,66,66,66,66,310,"RT ""This sentencing opens the door for more draconian judgments against LGBTQ persons. It's a call for violence."" William Rashidi, ",-2
67,67,67,67,67,67,67,393,RT 'I shot that n***r 119 times': Mississippi police chief is fired after bragging about killing 13 people and making racial and homophobic slurs ,-1
68,68,68,68,68,68,68,631,"RT ""As a proud member of the LGBTQ+ community, I am deeply concerned about laws being enacted across the country"" ",-1
69,69,69,69,69,69,69,5,Floridians in s district need to remind him. Its not his time! Hes in the Senate PAID by taxpayers to consider each and every piece of legislation. A 6 figure salary PAID by LGBTQ as with any other Americans. If its a waste of time for himGET OUT!,-2
70,70,70,70,70,70,70,287,RT A thread on the inadequacy of the consultation process for the UK conversion therapy law. The consultation over Bill C-6 in Canada was virtually non-existent. please take note. Have you even thought about any of the issues raised here? ,-1
71,71,71,71,71,71,71,347,RT In the '90's AIDS activism was synonymous with #LGBT rights movement. We were fighting to stay alive. Marriage was a pipe dream. /21,-2
72,72,72,72,72,72,72,765,Nothing a little conversion therapy cant help with ,2
73,73,73,73,73,73,73,495,"RT i saw a couple tweets regarding the monika pan situation so i thought id adress it, first things first, pls do not expect me to know everything lgbtq just bc i run this account, i try my hardest to educate myself but sometimes things just go undeneath the radar. secondly, i -",-1
74,74,74,74,74,74,74,367,"In the UK, yes, since they dismantled Section 28. Though I wouldnt put it past the Tories to bring it back. It looks like the Americans are just getting started when it comes to hateful legislation. And there are still plenty of countries where its unacceptable to be LGBT.",-2
75,75,75,75,75,75,75,953,"RT Today is #RainbowLacesday! Football, like other sport, should welcome us all , be that today, tomorrow & well everyday. So lets celebrate together, will have this flag with me tonight at Kingsmeadow grab a photo with it, If your #LGBTQ+ or an ally show your support ",-2
76,76,76,76,76,76,76,855,"The proposed book ban of Gender Queer was defeated by an 8-1 vote in West Chester. But let it sink in that it is 2022 and across the USA and PA and we are busy fighting off #bookbans. Bans aimed at erasing the stories of Black, Brown, and LGBTQ people.",-2
77,77,77,77,77,77,77,315,"He defined the term as a cultural construct, not the biological sex organs. Continuing to pretend he meant something other than language is dishonest.",-1
78,78,78,78,78,78,78,666,RT Some media organizations in #Hungary have defied the outrageous anti-LGBT law by joining the #ugyanaz campaign raising awareness of the discrimination faced by #LGBT families. Its great to see Hungarian media are standing up for human rights! ,-2
79,79,79,79,79,79,79,404,RT The conversion therapy programme is showing promising results ,1
80,80,80,80,80,80,80,837,"RT Happy #NationalComingOutDay The UC LGBTQ+ community has an incredible, trailblazing legacy. Learn more ",-2
81,81,81,81,81,81,81,3,"RT LGBTQ asylum seekers at the shelter from El Salvador, Guatemala, Honduras, Jamaica, Mexico & Nicaragua are stuck in Tijua",0
82,82,82,82,82,82,82,754,"I wasnt joking about fortnite gender, thats my actual gender since Im gender fluid I can change my gender how much I want",1
83,83,83,83,83,83,83,215,"I would say that an attack on a trans woman might be transphobic, it might be homophobic, it might be misogynistic or it might be none of those things.",0
84,84,84,84,84,84,84,724,"RT Today we started to celebrate #LGBTHM22 by sharing information with our colleagues. Throughout February we will celebrate & champion heroes from the #LGBT community, sharing their stories and our stories so people can understand our #history #onecalico #thisisme ",-1
85,85,85,85,85,85,85,603,"Threatening to have gay sex with him is harassment..., and being homophobic isn't against ToS I thinj",-1
86,86,86,86,86,86,86,490,Please is there anyone who can donate please #emergency #MutualAid #MutualAidRequest #genderfluid #LGBTQ #DisabledCrowdFund #DisabiltyCrowdfund #EmergencyCrowdFund #fundraiser #MutualAid #MutualAidRequest #Narcissist #narcissisticabuse #homophobic #ableist #SurvivalFund ,-1
87,87,87,87,87,87,87,938,"RT When people use the term Homophobia, we understand that the ""phobia"" suffix means ""fear or aversion"", so you don't have to be scared of gay people to be homophobic. Don't let transohobes pull the ""I'm not scared of trans people though"" fallacy. It's deflection. Hate is aversion.",-2
88,88,88,88,88,88,88,425,"Its actually sad that people are just discovering this now when in fact a simple search would have proved Chris Pratt isnt homophobic as they claimed, they refused to see it because it didnt fit their narrative, and they got a kick out of hating on him for no reason ",-1
89,89,89,89,89,89,89,182,RT Id probably be cumming just from getting fucked by a big dick bit also getting sucked at the same time fuck my exploding instantly #bbc #bwc #threesome #spitroast #gay #bi #LGBTQ #nsfwtw #anal #blowjob #Birmingham2022 #westmidlands ,-1
90,90,90,90,90,90,90,772,RT hate malec all you want they sill paved the way for lgbt (specially mlm) ships in ya fiction,-1
91,91,91,91,91,91,91,1064,"RT So.you werent called misogynistic, homophobic, or transphobic but instead she exhibited homophobic behavior. How does that correlate?",-1
92,92,92,92,92,92,92,863,"""Some people who are transgender will experience gender dysphoria, which refers to psychological distress that results from an incongruence between ones sex assigned at birth and ones gender identity."" Do you understand the difference between distress & disorder, sugar plum?",0
93,93,93,93,93,93,93,708,"RT Fuck you NZ Herald. You racist, homophobic, classist piece of shit. Youve attacked South Auckland for years but published an article telling us it is not okay to shame North Shore within less than 2 days of accountability. Fuck you.",-1
94,94,94,94,94,94,94,770,"by ""others"" i assume you mean women and lgbtq+ people, and going off that assumption no, because they see rep in that character that isn't popular to the extent of cishet white people",-1
95,95,95,95,95,95,95,830,the way a lot of the ones who question her sexuality are lgbtq+,0
96,96,96,96,96,96,96,919,"LGBTQ and forcing their agenda. There's only one about this world which sees forcing people to comply with their agenda is ok, and that's LGBTQ. You deny them, then you're homophobic and nothing else. ",2
97,97,97,97,97,97,97,738,"This goes beyond the canard that ""because homosexuals cannot reproduce, they must recruit."" ""Grooming"" is a dog-whistle to the lie that all LGBTQ people are child molesters. This has been circulated about us for centuries.",-1
98,98,98,98,98,98,98,776,RT Definitely take legal advice from a guy whos been indicted multiple times and is under investigation by the state bar. Ken Paxton has NOTHING to be proud of. LGBTQ+ Texans - BE PROUD. We love you and we see you. ,-2
99,99,99,99,99,99,99,426,RT #SundayFunday w/on my OFs NOW! #LGBTQ #trans #tgirl @pic_poster @trans_hearts @angelicatranny @Ryanwsa1 @TsCamStars @ts4pleasures @kralicebusenaz ,-1
