,label,text
3442,0,Here’s your opportunity to work even more closely with China! You should fly over there to the epicenter of the virus and personally take charge!
1942,0,Right you are failing people are still arriving on flights from China from the hot zone and NO ONE is stopping them and checking for the virus they are walking right through and going home Gallup poll is BS
3926,0,Hmm.. That's STRANGE @ewarren does not have a plan for #coronavirus yet.🙁🙄 #CoronavirusOutbreak #Usa2020 #Pocahontas #china
438,0,Of course American businesses will return from China to the United States and bring millions and millions and millions of little coronaviruses with them. Very good thing for the United States  you basically do not want anything Returning to the United States from China right now.
3432,0,"China WoW Token Price: 217,504g Change: ⬆ 166g 24Hr High: 219,867g 24Hr Low: 207,133g #WoW #BFA #Warcraft pic.twitter.com/U94zjhiDUB"
2569,1,"I guess this was bound to happen. Maybe you should think of more strict control, instead of trying not to piss off China. #coronavirus https://twitter.com/DrTedros/status/1226629008302931971 …"
1341,0,"Obama Waited Until 'Millions' Infected and 1000 Dead in U.S. Before Declaring H1N1 Emergency. Trump acted immediately when given info. They called him racist for acting quickly to stop flights from China, now they say he acted too slowly. Both can't b tru   https://twitter.com/PJMedia_com/status/1233500191015211008?s=20 …"
672,1,"aboard a flight destined for China.  Federal officers at Logan Airport discovered the vials hidden in a sock inside one of Zheng’s bags, and not properly packaged.  It is alleged that initially, Zheng lied to officers about the contents of his luggage, but later admitted"
2051,0,"RESULT CHINA 4D 19 FEBRUARY 2020 OPEN : 7257 SHIO : naga  4D Discount 66% 3D Discount 59,5% 2D Discount 29,5%  LINK ALTERNATIF : * betklik365(.)com * halobos(.)xyz FOR MOBILE : * Mobile(.)betklik365(.)com  pic.twitter.com/PfgiwbosSQ"
2798,1,Live updates: China strikes upbeat note on coronavirus as businesses reopen; Hong Kong reports second death – The Washington Post  https://golftw.info/?p=157890 
3080,0,HELP #Leadership #Storytelling #Helps You #Connect With Absolutely Anyone - #Forbes  https://www.forbes.com/sites/estherchoy/2020/02/23/leadership-storytelling-connections/ … via @GoogleNews #preK #homeschool #wellness #TuesdayMotivation #health #reading #teaching #TuesdayThoughts #China #COVID-19 #literacy #lockdown #games
525,1,"If only it was that simple  China trades with the EU but does so with a limited set of goods compared with those we trade with the EU  They avoid goods with regulatory hurdles, as they do with their trade with the US  They don’t typically participate in complex supply chains"
921,1,"Yes, but China is now a big part of the economy, hence the stock market crashing. However, fatality rate in the US is very unlikely to be anywhere near 2% if it’s dealt with properly."
765,0,"When people misunderstand something, I can see 12 months ahead to when reality crashes their shared delusion.  I told $tslaq sorry no bankrupt  I’m telling $tsla sorry no autonomous driving, and lower your China expectations for both year 1 output and realizable profits in USD$  https://twitter.com/M_A_Barakat/status/1219882289674498049 …"
3739,1,China taking over Africa.
3598,1,What will happen when China becomes a superpower!!  https://twitter.com/CBSNews/status/1215397820498358274 …
1257,1,$280B? It's gonna be worse than that. Nobody's borrowing in China. How many US banks have exposure to that?
3948,1,Production halts in China risks disrupting new iPhone launch - Nikkei Asian Review  http://dlvr.it/RPCQMT 
3065,1,China's Wuhan blocks all travel as virus deaths jump to 17 #WuhanVirus https://s.nikkei.com/2TLS0WY 
3145,0,And China.And Saudi Arabia. And Turkey.
3475,1,Been told 'China bought the aquafers'.
646,0,Federal quarantine order issued for 195 Americans who returned from China: WHO declares global health emergency as virus spreads to 20 countries.  http://dlvr.it/RP8LPm  #25thAmendmentNow #ImpeachTrump #TheResistance pic.twitter.com/SpEC4vdSkF
2379,1,"China Reports Third Death From SARS-Like Virus, Nearly 140 New Cases  https://ift.tt/2THaKH4 "
3721,1,Drone Army Disinfects Chinese Villages Amid Virus Fears.  An army of drones is being deployed in villages and cities across #China to disperse disinfectant as the #Wuhan coronavirus escalates in severity.  #CoronarvirusOutbreak #coronawirus #coronavirus pic.twitter.com/R8KLayABcA
420,0,"Canadians evacuated from #China will be sent to CAF base in #Trenton, #Ontario. #BREAKING #CORONAVIRUS https://twitter.com/SeanPrevil/status/1224128870804336641 …"
1648,1,China says delegation set to sign trade agreement in US: Chinese Commerce Ministry on Thursday said Chinese trade delegation is set to travel to the US for the signing of `phase one’ of an agreement meant to resolve the countries’ trade war.  https://greenparrotnews.com/china-says-delegation-set-to-sign-trade-agreement-in-us/ … pic.twitter.com/f92XltHi9F
1477,1,Global stocks rise on optimism about US-China deal -  https://www.shanghaibeat.com/global-stocks-rise-on-optimism-about-us-china-deal-9/ … #Shanghai #China #上海
2906,1,"In the last five thousand years, China can split, and unite, but never has such thing as independence. Some time split, some time unite. After split it units. After unite, it splits. The split is long enough, and it's time to unite."
3036,0,"⚠️😱 Here's why the USA will have a #CoronavirusOutbreak PANDEMIC! Incubation could be as long as 27 days, but US only Quarantines for 14 days! ONLY Americans who were in Wuhan and/or had contact with someone from China are tested! Only 3 US States are testing for #Coronavirus! https://twitter.com/ABartonMacro/status/1231146106081435648 …"
819,1,"it should not come as a shock or surprise after the ""acquittal"" then if Democrats reach out to Iran, China or Venezuela to help beat Trump.....I'm sure you'd be cool with that riiiight"
633,1,@who china is the best！
1626,1,"Asian Markets: China, Hong Kong Post Strong Weekly Gains Amid Dovish PBOC Moves - FX Empire  https://www.fxempire.com/news/article/asian-markets-china-hong-kong-post-strong-weekly-gains-amid-dovish-pboc-moves-624006 …"
3877,1,"State Department to designate 5 Chinese media outlets “foreign missions,” Tuesday, effectively, Communist Party of China agents: -Xinhua News Agency -China Global Television Network -China Radio International  -China Daily Distribution Corporation -Hai Tian Development USA"
3294,1,"Then you do it covertly and not risk WW3...  why do it out loud and thump your chest?  Now Iran, China and Russia are running unilateral naval drills.  Sheesh!  Most powerful country on earth and we act like Neanderthals.  Then expect civilized discourse in return SMH"
837,0,China Eastern: Toronto (YYZ) to Vientiane (VTE) just US$ 544 Economy Class Round Trip incl all taxes and fees  https://mightyfares.com/2020/01/24/china-eastern-toronto-yyz-to-vientiane-vte-just-us-544-economy-class-round-trip-incl-all-taxes-and-fees/ …
3355,1,"IRA spokesman says they don't exist, Indonesia have no confirmed Covid 19 cases, coincidently they also have no testing kits and Iranians think the USA caused Covid 19 despite it starting in China.  🤦‍♀️"
3980,1,China scrambles to contain 'strengthening' virus  https://reut.rs/2TSJJR8 
2972,1,"4 place🥉  behind China, Japan and Singapore"
1466,1,"Like our economy, renegotiating NAFTA, new and better trade deal with China, improved race relations, illegal immigration down, wall being built, increased national security.  I see your point.....lol"
3915,0,They have been calling it China virus around here on the news.  Call it as you see it
1139,1,"Mike Pence to Trump: “You said to our friends in China things have to change, and today, thanks to your leadership, the change begins.”"
3292,0,"Today, Mon Jan 06 2020 Xi'an, China:  Skies will be clear. Tempuratures will be 113 degrees Fahrenheit. 17% chance of everyone waking up with a hangover even if they didn't drink last night."
2638,1,Trump Effort to Keep U.S. Tech Out of China Alarms American Firms  https://www.nytimes.com/2020/02/16/business/economy/us-china-technology.html … pic.twitter.com/71CdaGZMIT
1928,0,If Democrats win the elections in 2020 I’ll move to China even if the Corona virus is still around. 😬
582,1,Kenya is China’s colony. It’s debt colony. It’s resource colony. It’s Human Resources export colony. #coronavirusInkenya
3958,1,Shoutout to the white bitch complaining about how her trip to China is ruined bc everything is closed due to corneavirus. Bitch I’m sorry you didn’t get to see the giant panda bears but people are literally dying.
1077,1,"China coronavirus cases pass 70,000 as WHO mission gets underway  https://gobnewsonline.com/2020/02/17/china-coronavirus-cases-pass-70000-as-who-mission-gets-underway/ … pic.twitter.com/m013dqC4HF"
808,1,"Huawei is serving the CCP. Man, i guess you haven't lived in China to understand how things work? @TheEconomist"
2013,0,And it is the warning level 3 as China
1061,0,Ball’s now in Malaysia’s court. The East Malaysia state of Sabah already suspended all inbound flights from China 3 days ago. #Coronavirus https://twitter.com/Reuters/status/1223983327285301254 …
3702,1,I hope it’s not China! Safe travels
2946,1,Personally I think the coronavirus is a hoax by china
4148,0,Allah protect all the Pakistanis present in China
3118,1,China orders 145 million masks from Egypt to tackle coronavirus epidemic  https://www.alaraby.co.uk/english/news/2020/2/4/china-orders-145m-masks-from-egypt-to-tackle-coronavirus …
1906,1,Greed at work:  The prices of facial masks are going up as we speak.  And the irony: Most brands are made...in China.
3899,1,"My own personal razzberry awards go to Wall Street, where protection from losing money on companies that will be among those most affected by coronavirus – airlines, for example, and companies like Apple with idled factories in China –"
2547,1,"Had an Irish architect on one of my tours a couple of years ago who had just built a pub in an English village in China.  Like a scene from a sci-fi where aliens have gathered examples of all the species they come across, China is creating a living museum of near-extinct Europe"
1817,0,I mean... it’s from China.
3679,1,China Claims To Have A Real-Deal Laser Gun That Inflicts 'Instant Carbonisation' Of Human Skin via /r/technology  https://ift.tt/38jOA2d 
2227,1,"Ofcourse, you jihadi's should have been born in saudi arabia or china or pakistan, you wouldnt even have 1% of the freedom you get in India."
1043,1,I won’t even attempt for 2 reasons: 1) It’s scary  2) China is not know for their excellence H&S record.I just don’t trust the structure is safe and sound. I will politely decline whatever the offer is
2072,1,"China benefits, since they manufacture 60% of solar panels"
2294,1,"MDMA is a psychoactive drug. LSD is a psychoactive drug that is classed as a hallucinogen. Both are ""pychhadelics"". They both alter perceptions. Regardless, MDMA is mainly produced in Mexico who gets the chemicals from China. There's plenty of bad men before Joe dealer gets it."
3753,1,Lisbon rebuffs claims Portugal is China’s ‘special friend’ in EU  https://www.ft.com/content/862c633e-393b-11ea-a6d3-9a26f8c3cba4 …
1737,0,#Coronavirus #COVID19 Update Follow my lists for news: CHINA  https://twitter.com/ninatypewriter/lists/china … HEALTH  https://twitter.com/ninatypewriter/lists/health-medicine … SCIENCE REPORTING  https://twitter.com/ninatypewriter/lists/science-reporting … ASIA 1  https://twitter.com/ninatypewriter/lists/asia-1 … ASIA 2  https://twitter.com/ninatypewriter/lists/asia-2 … #SARSCoV2 #nCoV2019 #2019nCov #WuhanCoronavirus #WuhanVirus https://twitter.com/atrupar/status/1232300728447881217 …
2918,1,I have a friend who’s brother is a Dr in China. He’s been funneling some scary info to us through his FB feed. I am legit worried. China has NOT been honest about the severity of this virus.
979,1,"All of the deaths have been in China's Hubei province, where the first cases from the new viral illness were reported last month.  https://www.kiiitv.com/article/news/nation-world/new-coronavirus-death-toll-rises-as-cases-increase-in-china/507-1896d00d-b570-4987-9f84-7addb33c8d2a …"
3406,1,"Adidas, Puma warn of coronavirus hit to China business   https://www.standardmedia.co.ke/sports/article/2001361074/adidas-puma-warn-of-coronavirus-hit-to-china-business …"
1471,0,I don’t know if Russia and China are considered to be in the Middle East. But those are enough forces to reckon with...
574,0,"It already started in China, not really get used to that app, but better than nothing 😂"
2880,1,I’m coming across way too much of this.   China has massacred their own ppl before & it looks like it’s happening again.  This comes off as Hitler esque  https://twitter.com/IbrohimJke/status/1224409509335977984 …
1895,1,How 9/11 spawned an anti-#Muslim playbook being weaponised in #India and China'  https://www.alaraby.co.uk/english/comment/2020/3/5/9-11-spawned-anti-muslim-playbook-being-weaponised-in-india-china …
3288,1,"Reckless & Cruel human activity set the coronavirus loose, killing animals everywhere, caging them in horrifying conditions for markets; disrupting ecosystems, shaking viruses loose from their natural hosts, forcing viruses to seek a new host (=us). Wake up China"
781,1,"Let's look at my comment ,it is just  Look at the ANC gov international friends (Cuba/Venezuela/China/ Iran/Zim) all have a few things in common. Look its hero's ,all dictators/murderer's/socialist  Look at SA plans""big Gov""  NHI/ land reform/ disarm pop or nationalise accents  pic.twitter.com/eOHuu6VmqC"
2347,1,"ah, the free market at work.  Even the Communistic Society of China cannot truly impose upon the freedom of the human heart, regardless of how addicted to power @TheChineseGovt, eh @Charlot02655183 .  #SocialismDrug"
3090,0,breaking news: @azirapha1e just bought a plane ticket to china to make jason mendoza and wilfred mott's tongues battle for dominance
3942,1,Pompeo warns nation's governors to be wary of China  https://www.daytondailynews.com/news/national-govt--politics/pompeo-warns-nation-governors-wary-china/zJIdIXnruFbAHGrmmGEiOI/ …
3242,1,If you been to China recently stay tf away from me 🙌🏽
1592,1,"Could be true but in the hundred cases out of China, we only have 2 deaths. It is too early to say if it is a low death rate virus, but, out of China, we do not see people dying the streets (or on the cruis ship in Japan)"
1441,1,I believe he brought it from china
411,0,"Hong Kong Confirms 2nd Non-Mainland China Coronavirus Death As Hospital Workers Strike, Over 200,000 'Under Observation' | Zero Hedge  http://archive.ph/7roP0 "
2094,0,We have a new #Teaching #Vacancy Available!  Job Title: Middle school and High School IBDP Music Teacher  Link to full job description:  http://zpr.io/thsnD  #ESL #TEFL #TESOL #internationaljobs #education #jobsinchina #chinajobs #teachingabroad #china  pic.twitter.com/wBuoJGsOxp
307,1,"The man-made epidemic in Hubei was a genocide by the Communist Party against 70 million people in Hubei. With the release of data from all parties, the number of deaths must be astronomical. Most of them are high-quality urban residents in central urban areas. #Coronavirus #china  pic.twitter.com/d60Z5DVt1m"
1933,1,Coming up this hour 🕐  Timmy Sean Crowded House The Alan Parsons Project Pixies Wes Cunningham The Vestals China Crisis Matthew Sweet Yann Tiersen Hot Club of Cowtown The Black Keys Old 97's  and more!  http://toastradio.com 
327,1,Exclusive: China's top virus expert says outbreak may peak this month  https://reut.rs/37hfpm0 
1800,1,China isnt the main culprit?
1167,0,"US Colleges Respond to the Coronavirus: Travel to China Restricted, Overseas Campuses Closed   https://www.theepochtimes.com/us-colleges-respond-to-the-coronavirus-travel-to-china-restricted-oversea-campuses-closed_3220093.html …  For the latest US and political news download The Epoch Times app now! https://ept.ms/2mCEjel "
2846,1,Airlines around the world have canceled or reduced flights to China amid fears of the deadly new coronavirus.  https://wosu.pm/2OPRC6p 
3268,1,"@shandro @jkenney @Albertadoctors @AHS_media @dryiu_verna Are you really sure Alberta is at low risk? Are we really prepared?  Things are changing faster than data can be collected& reported, all over the world. We can not build hospitals in 2 weeks like China.   Please read.  https://twitter.com/CMichaelGibson/status/1237189964623994880 …"
1700,1,"Situation in China, pertaining to impact of Corona Virus is alarming & pitiable too !"
3759,1,It might infect at least 30million all over China and will die about one million in 2020. My prediction. Will see.
3635,1,I wonder what is the endgame of this bombardment of IP theft by China-associated persons.  A Chinese-ethnicity scientist registration act? Scary to contemplate😱😱.  5% of the population ruin the entire group😡
540,0,"Fenomenal, she should've been Black China though"
2133,1,"They are, but just think about the ripple effects across the world, China is the biggest economy in the world as we speak, the biggest debt holder, the country with the biggest cashreserves.. you take China out of this globalized economy/market, and everything crashes."
3646,1,"China building a hospital to treat virus, expands lockdowns  http://bit.ly/3aDPg3V?utm_medium=social&utm_source=twitter_WEHTWTVWlocal … pic.twitter.com/l3tWPIgL5L"
1880,0,"I Hope that if there is no HK poster from Morey, I think Kobe will be do the activities in China , Not in the helicopter. But Who support the HK protesters？"
3422,0,omg the worst. I spent 2 hours just packing up our China cabinet of glasses and everything else you can imagine. I’m afraid to start our kitchen 😩
3498,1,"Would be interesting to know what other warlords called their palaces. In China it was generally something very benign and peaceful like ""Palace of the White Orchid"" or virtuous like ""Home of Upright Wisdom"" depending on how often they killed people. (Orchid would be the killer)"
3940,1,"Remember, China also spread the virus world wide.... Remember their political system is very different.... If the Govt were to do it in India, the entire oppn will allege scam.....  https://twitter.com/ashokkmrsingh/status/1224695062170222594 … pic.twitter.com/NljurcecHs"
1765,1,"Climate change is a con to redistribute wealth from rich western countries to poor countries.  Worried about climate change Schumer, talk to China and India, we've had enough of your societal suicide pact!"
2994,1,"In China, an 11-year-old girl was raped violently by a 20-year-old man.  The man was sentenced to three years in jail but did not have to stay in prison.  The girl's parents are despairing about the judiciary   https://twitter.com/chanceduoduo/status/1232544656111439872?s=21 … https://twitter.com/ChanceDuoDuo/status/1232544656111439872 …"
2277,0,If you flip over China it would say made by Chuck Norris
3928,1,"SMOKING GUN: China Bought Weaponized Coronavirus From US  Ntl. Inst. of Health funded; UNC’s BSL3 facility & ChiCom contract scientist genetically modified Ft. Detrick cells into a SARS HIV chimera for ""gain of function"" lethality  https://www.sciencedirect.com/science/article/abs/pii/S0166354220300528?dgcid=rss_sd_all …  https://banned.video/watch?id=5e4d9a96ceaa970024aa6fbf … pic.twitter.com/rByKW1NHQ1"
3789,1,Pompeo Sounds Alarm Over China’s Attempt To Suppress Free Speech In America  https://www.infowars.com/pompeo-sounds-alarm-over-chinas-attempt-to-suppress-free-speech-in-america/ …
3305,0,"Gui Minhai, detained Hong Kong bookseller, jailed for 10 years in China  https://thebreakingnewsheadlines.com/blog/gui-minhai-detained-hong-kong-bookseller-jailed-for-10-years-in-china/ … pic.twitter.com/j8ZxMR367S"
1968,0,Coronavirus outbreak: Indian Army sets up quarantine facility in Haryana's Manesar for 300 students returning from China - Firstpost  https://www.firstpost.com/india/coronavirus-outbreak-indian-army-sets-up-quarantine-facility-in-haryanas-manesar-for-300-students-returning-from-china-7985031.html …
2451,0,"Jumping in to give a helping hand!  Let’s build our networks and spread the GOOD NEWS that November will be a landslide not seen before. #LANDSLIDE2020   I’ll follow, patriots!"
332,1,"Sir Geoffrey Nice QC concluded at China Tribunal in June 2019 that “Governments and any who interact in any substantial way with the PRC including: Doctors and medical institutions; Industry, and businesses,…should now recognize that they are interacting with a criminal state”."
1232,0,Bitch please!   You are so fake even china denied they made you!  #Fakepeople #FakeFriends #MondayMorning #MondayThoughts
3158,1,中文 | #Stigmabase — Academics have called on China to phase out its university enrollment ... in the big cities…  https://goo.gl/fb/SaHJfm 
2527,0,"Remembering the legendary Jack Lemmon on his birthday, seen here in SOME LIKE IT HOT (1959), THE APARTMENT (1960), DAYS OF WINE AND ROSES (1962), and THE CHINA SYNDROME (1979).  #BornOnThisDay @tcm #TCMParty pic.twitter.com/ALqFWGTWfJ"
770,0,"What the ""hoax virus by the Dems""  said by Trump and Fox or ""China Virus"" spoken by Kevin McCarthy?  What happened to that gas mask you had?  #GasMaskMatt"
529,1,Hospitals in China’s virus epicenter launch public appeals for supplies  https://south-korea.timesofnews.com/hospitals-in-chinas-virus-epicenter-launch-public-appeals-for-supplies.html …
2122,0,So you want to be china then
579,1,"It is reported that the number of new coronavirus cases confirmed in China,outside of Hubei Province,has declined for 11 consecutive days since February 3. A total of 221 new confirmed cases(excluding Hubei Province) in China on Feb. 14.#coronavirus #China #COVID19 #Wuhan pic.twitter.com/X8U1iXisUt"
3224,1,The Philippine government on Thursday expressed solidarity and support with China in its fight against the spread of coronavirus disease (COVID-19).  STORY:  https://www.untvweb.com/news/ph-shows-solidarity-support-for-china-in-battle-against-covid-19/ … pic.twitter.com/5erA8LmA0F
1298,1,"the u.s. probably released the virus to fuck with china and destabilize so we get an upper trade hand but hey what do i know,"
3549,1,Yes. Everybody must know that. Welfare should be sarificed for fast economic growth initially. China did the same. China's economic growth is a result of sacrifices made by earlier generations.
3745,1,Ready For CHINA INTERNATIONAL BEAUTY EXPO - 19 May 2018  http://www.mefapo-beauty.com/news/Ready-For-CHINA-INTERNATIONAL-BEAUTY-EXPO-19-May-2018.html …
2566,1,"If I ever go to China I will bring a sandwich.  ""Global killer virus blamed on bat soup as pics emerge of people eating the dish""  https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar …"
3595,0,"Star Of China, 7 Bungalows."
3829,1,"@nfergus is the best guess on CNBC this morning. Love the fact about how China is the problem. We have to use paper straws, while China spins up a Coal Fired factory every day."
4066,1,Xi is irresponsible. He does nothing. Xi allows cruelty to animals and waits. The cruel meat trade is ethically unacceptable and makes people sick.That has to be prohibited.Viruses keep coming to China and are spread worldwide because Xi ignores everything. https://www.wsj.com/articles/abolish-asias-wet-markets-where-pandemics-breed-11580168707 …
2783,0,"o man,,, audio drama and novel has to be my fave HAHAHAHA im a sucker for audio dramas BUT THE DONGHUA IS P HELLA GOOD TOO (but also removed the clearly GAY parts bc china) IDK I JUST LOVE THE WWX VOICE ACTOR OK but rly tho cql didnt rly follow the novel SO JUST FYI"
1111,1,"Sensible, given the current situation. Many friends currently in China. Keep safe.  https://twitter.com/BBCBreaking/status/1222233053877194754 …"
2325,1,"China mystery virus: SARS, MERS and bird flu ruled out  http://www.msn.com/en-xl/asia/top-stories/china-mystery-virus-sars-mers-and-bird-flu-ruled-out/ar-BBYEcM0?ocid=ob-tw-enxl-1547103954200 …"
2870,1,New virus in China requires international control effort  https://www.nature.com/articles/d41586-020-00135-z …
2125,0,"China, Russia will not get involved"
3374,0,India giving importance to experience in USA & ChIna specifically in Foreign policy  S Jaishankar - longest serving indian Amb to China & well Known US Expert  Vijay Gokhale - well known China expert  Harsh Shringla - Amb in US  https://twitter.com/IndianEmbassyUS/status/1216163827655507972 …
2666,1,China’s #Coronavirus Is Bringing #Alibaba to Its Knees  $baba $ashr $cqqq $kweb $mchi $fxi $chn $caf $tdf https://www.bloomberg.com/opinion/articles/2020-02-13/alibaba-earnings-coronavirus-threatens-growth-of-core-businesses?utm_campaign=socialflow-organic&utm_source=url_link&utm_content=asia&utm_medium=social …
3818,1,"We Indians stand in solidarity with young and innocent students Locked up in Wuhan , China. These boys are not being brought back because their fathers are not Pak Army officers."
4135,1,You believe China and Russia are going to launch nukes and bring about the end of the world?
1596,1,China death toll rises to 258 - today's developments as they happened   https://www.theguardian.com/world/live/2020/jan/31/coronavirus-live-updates-china-wuhan-death-toll-who-global-health-emergency-latest-news?CMP=Share_AndroidApp_Tweet …
1255,1,And Trump's China deal is a total capitulation to China and US firms outsourcing manufacturing jobs to China
1350,1,‘RIP. Our hero’ China rushes to censor online unrest after doctor who blew whistle on coronavirus died – National Post  https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL3dvcmxkL2NoaW5lc2UtZ292ZXJubWVudC1jZW5zb3ItbGktd2VubGlhbmctZGVhZC13ZWliby13ZWNoYXQtY29yb25hdmlydXPSAWtodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9jaGluZXNlLWdvdmVybm1lbnQtY2Vuc29yLWxpLXdlbmxpYW5nLWRlYWQtd2VpYm8td2VjaGF0LWNvcm9uYXZpcnVzL2FtcA?oc=5 …
1603,1,Coronavirus by the numbers; wartime measures in China  https://youtu.be/bf9a_I5kCDk  via @YouTube
970,1,Asian Regions on High Alert After Mysterious Virus Erupts in Central China  https://pezou.com/asia/asian-regions-on-high-alert-after-mysterious-virus-erupts-in-central-china-2.html … pic.twitter.com/OT6LDoWuDr
356,1,Iran is spreading coronavirus faster than China did. Dunno if its incompetence or deliberate. Now I appreciate how China managed to contain the virus and prevent it from spreading
3185,1,And we want these idiots to negotiate w China & rest of the world?   #Trump2020
972,1,Chinese stocks tumbled 9.1% as markets reopened after an extended holiday despite a central bank promise to boost liquidity to cushion the blow of the coronavirus outbreak  http://on.ft.com/2uVbMVy  @FT #Diplomacy140 #China #coronavirus pic.twitter.com/EZjIeuYb7j
2938,0,“Per China” 😂💀
2377,0,"WA state has a case, the man had returned from China recently.  https://www.npr.org/2020/01/21/798252671/cdc-announces-first-u-s-case-of-new-coronavirus-in-washington-state …"
2197,1,Y’all really think that hotel in China where there were hella people with corona virus just happened to “collapse”???
1917,1,"Coronavirus death toll in China crosses 1,600  https://udaipurkiran.com/coronavirus-death-toll-in-china-crosses-1600/ … pic.twitter.com/cq5j47cUUn"
3676,1,Just the Consul General of China threatening to eradicate a Chinese user on Twitter.  https://twitter.com/ZhaLiyou/status/1228923041297551360 …
893,0,Agreed! Influenza kills 36K Americans every year.  Coronavirus is awful I’m PR of China for very different reasons. Let them scare the skittish. I’ve UPPED my 401K contributions.   My President is @realDonaldTrump and HE is WINNING for ALL OF US!! ❤️❤️❤️❤️❤️❤️❤️❤️❤️
2750,0,"If Trump hadnt enacted the China travel ban when he did, Joe Biden wouldve probably caught the virus and been long gone"
491,1,"I guess every once in a while, something that's ""made in china"" breaks its stereotype and a thing of quality is produced instead."
3394,1,World's largest ice and snow festival kicks off in China  https://www.cnn.com/travel/article/harbin-ice-and-snow-festival-2020-china/index.html …
2723,1,"CORONAVIRUS  Infectious disease researcher, Dr. Xiangguo Qiu, working in Winnipeg, Canada brought diseases to Wuhan, China.  https://youtu.be/EShfTuzgRD0?t=51s …  Researcher escorted from Canadian (Winnipeg) infectious disease lab amid RCMP investigation - July 2019  https://www.cbc.ca/news/canada/manitoba/chinese-researcher-escorted-from-infectious-disease-lab-amid-rcmp-investigation-1.5211567 … pic.twitter.com/EyQWQdd1B0"
2698,1,"'China is facing a grave situation,' President Jinping on Wuhan's deadly coronavirus.... || #ChinaVirus #CoronaVirus #WuhanCoronavirus #China #Wuhan #CoronoaVirus #ChinaCoronaVirus #XiJinping https://thepigeonexpress.com/china-is-facing-a-grave-situation-president-xi-jinping-on-deadly-new-virus/ …"
1716,1,China: 'Urgent' need for medical equipment as toll tops SARS  http://a.msn.com/01/en-us/BBZAob5?ocid=st2 …
2102,1,Thank you for good relationships with maldives 🇲🇻 and China 🇨🇳 @AmbassadorZhang https://twitter.com/AmbassadorZhang/status/1212707979251703809 …
3323,1,"short end of curve can't do much absent Fed jawboning hope for a cut .....  thus as China virus spreads , the rally in 10yr will crush the curve   will be in teens shortly"
1961,1,Even China themselves realize they have to many people and what do you do when that happens? You kill them  https://twitter.com/charliekirk11/status/1226852265954201601 …
3989,0,UMMM MY PACKAGE IS SHIPPING FROM CHINA WHAT THE FUCK DO I DO
3146,1,"ESTA ES LA CHINA COMUNISTA , QUE NINGUN PAIS DE LA DERECHA PODRIDA, RASCISTA Y NAZI  A CONSTRUIDO EN ESTE PLANETA! 2020 ANO DE SENTENCIAS Y CARCEL PARA TODOS LOS CORRUPTOS CRIMINALES, APRENDAMOS DE CHINA!  https://www.youtube.com/watch?v=GrQ68SFSKz8&feature=share …"
1151,1,"You’re in denial. Just look at how he acts & listen to what he says. He has some form of dementia. In addition, he has a track record of lying, groping young girls & women. He’s on the wrong side of numerous policy decisions, & has engaged in corruption with China & Ukraine."
