,tweet_id,label_code,text,label_text
19,1224461501295218688,-1,"That’s kind of you.   @BaldingsWorld Chris, do you know of any trustworthy charities in China?",China and/or Chinese are somewhat incompetent
20,1232815981896048640,-99,That they need her in China pronto!,irrelevant or no opinion
21,1236093356184416256,-99,"I’d be happy to discuss with you but I’ve yet to answer you on other things you’ve said. Unfortunately, I’ve been quite busy.  I have a question for you though. Are you a citizen from the PRC and are you currently a permanent resident in China?",irrelevant or no opinion
22,1231724888555061248,-99,"I work for a company that ships pkgs all over the world, and I can’t tell you how many people have shown up at our counter shipping masks to China. Unfortunately, due to customs, the intended will probably never receive them.",irrelevant or no opinion
23,1226877254602575872,-99,China now has to fight coronavirus AND bird flu: 'Highly pathogenic' avian influenza hits two ...  https://mol.im/a/7987009  via @MailOnline,irrelevant or no opinion
24,1222357123981627392,-99,"Death toll in China's coronavirus soars to 132; confirmed infections about 6,045 #corona #coronarvirues #WuhanCoronavirus #china #wuhan pic.twitter.com/VuIMFPtoNx",irrelevant or no opinion
25,1228959122038628352,-99,U.S. weighs blocking GE engine sales for China’s new airplane:  http://ow.ly/jSm130qi41O  #Aviation #Aircraft #Engines pic.twitter.com/jxQKU1hMNL,irrelevant or no opinion
26,1236117814186070016,-99,"The studies has shown that this virus eminate from China, the focus is from ppl who visited China, this guy was from Italy of which statistics of corona virus in Italy not known, we rely on WHO for stats of corona in other countries, remember this is a new thing.",irrelevant or no opinion
27,1233841782108102656,0,"@ZubyMusic  Don't fear the virus, be aware and careful. The climate, nobody says this but, it is all up to China and India. If they don't change. You can make all the @elonmusk Teslas in the world, it will not make dent of coal, oil and gas power. I'm sorry. We should be hopeful",
28,1228013219920449536,0,".@Brent_Huffman, just finished @SavingMesAynak on @PrimeVideo - great #documentary! It will only grow in importance as #China's #BeltandRoadInitiative spreads across Asia. Other countries may face the same dilemma - protecting #culturalheritage in the face of China's ambitions.",
29,1227494850582306816,1,"As #Medical  professionals in Wuhan, Hubei province, continue to battle the #coronavirus , their peers from all parts of China have been heading to the city to offer assistance. More than 11,000 medics have been sent to threre since the start of the outbreak. (Source/ChinaDaily)  pic.twitter.com/IRKhx19NeE",China and/or Chinese are somewhat competent
30,1221838327063678976,-99,Cruise lines cancel China sailings  http://twib.in/l/zzq8e75aykqr ,irrelevant or no opinion
31,1213984977622360064,2,INDIA LEARNS TO PLAY HARD BALL ON NATIONAL SOVEREIGNITY JUST LIKE CHINA  MALAYSIAN PALM OIL PURCHASES STOPPED OVERNIGHT  Malaysia's goose is cooked in short and medium term as India stops buying Malaysian palm oil.  Mahathir Mohamed's rabid...  https://www.bbc.com/somali/50990929 ,China and/or Chinese are most competent
32,1235382790260224000,-99,#Ad #Sponsored The Allure of Matter: Material Art from China presents monumental artworks from today’s leading Chinese artists. On view at the north side's @Wrightwood659 and on the south side at the Smart Museum of Art.  http://theallureofmatter.org  #theallureofmatter pic.twitter.com/OqM6PT7qcQ,irrelevant or no opinion
33,1233143793597194240,-2,"That didn't take long! ""Let's Call It 'Trumpvirus'"": Hillary-Loving NYT Columnist Blames Coronavirus Outbreak On Trump. They are not blaming it on the source are they? Their totalitarian commie friends in China. | Zero Hedge  https://www.zerohedge.com/geopolitical/lets-call-it-trumpvirus-hillary-loving-nyt-columnist-blames-coronavirus-outbreak-trump …",China and/or Chinese are most incompetent
34,1220746816443957248,-2,That sounds completely insane and surely makes me feel very safe about a massive virus in China no problems here ha ha ha😬,China and/or Chinese are most incompetent
35,1225883678716420096,-99,"10 years i lived in the states. My 22 others were overseas. Qatar, Vietnam, China, Norway, Netherlands, Germany, Kyrgyzstan.",irrelevant or no opinion
36,1221474034346610688,-99,"He was  a founding member, but I say if they wont let China in the should not let Xpac in either",irrelevant or no opinion
37,1232794173016870912,-99,"Ok here’s simple math. Say everyone who attends a Michigan football game (100,000) has the flu. 100 will likely die. If they all have Coronavirus, 3,400 will likely die (using China’s and Italy’s current rate).",irrelevant or no opinion
38,1224996296739651584,2,I thought it was just biological warfare since U.S. is having problems with China what better way then destabilize their economy than with a virus lol,China and/or Chinese are most competent
39,1222035184310198272,-2,"they wait this much time to do this, Chinese people eating shits and we prying prize😡search every Chinese and every tourist who came from china since this virus spread for god sake this becoming more dangerous every country should issue a ban for months",China and/or Chinese are most incompetent
40,1232455233940254720,-99,"“The U.S. must win the race to 5G; it’s us or China. I know the Trump administration and Chairman Pai share that view—and today the FCC will take a major step forward in pursuit of that shared goal."" - @boblatta @repgregwalden https://republicans-energycommerce.house.gov/news/press-release/walden-and-latta-react-to-fccs-c-band-auction-plan/ …",irrelevant or no opinion
41,1226154564132294656,1,They prepare there self for coronavirus in China  https://youtu.be/S3bEToRSwXs  via @YouTube,China and/or Chinese are somewhat competent
42,1229492792017158144,0,@howroute   I took the CDC flu estimates and compared them to China’s numbers reported by WHO.  I am just guessing but even if you assume all the cases were from Wuhan then the # of infections appears to be low.  pic.twitter.com/tvtiEkhPlM,
43,1222984198786633728,-1,"If TSMC stops supplying for China, that's the end for Huawei. So the dependency was both ways.",China and/or Chinese are somewhat incompetent
44,1232363807831257088,-99,"This is absolute nonsense! How can you say it ""remains low"" when the rest of the world is stating the opposite. How many flights have arrived in YYC or YEG from China this month? Your tweet is irresponsible....  #COVIDー19 #COVID2019 #CoronavirusOutbreak",irrelevant or no opinion
45,1232879073636093952,-99,where are the Kenyans from China?,irrelevant or no opinion
46,1229326110397095936,-99,China coronavirus outbreak with all these people going to all different  country's I can see it spreading everywhere 14 days is not along time it could show its self later could sit in the body longer before it goes full blown,irrelevant or no opinion
47,1222184029337853952,-99,"So #bottlehead it’s a #china #coronavirus thing, will it catch on? pic.twitter.com/KGEPDk4Jrv",irrelevant or no opinion
48,1237482581450522624,-99,"Enough evidence in China can support older people with other serious chronic conditions face a higher risk of death, at the same time, there were also many young people died for the virus.",irrelevant or no opinion
49,1228767499862233088,1,I am curious to see how China will respond after all US did . -arrest of Huawei CFO and trying to block Huawei  -Hong Kong  -Uyghurs  -swine flu -chicken flu -and most likely this Convid-19 -SARS was  a bioweapon,China and/or Chinese are somewhat competent
50,1230154323562303488,-99,Happy Wednesday!!! #locationlocationlocation #ilivewhereyouvacation #newhome #tucasanueva #usa #china #japan #germany #canada #france #uk #unitedkingdom #hongkong #italy #switzerland #RealtorBerni…  https://www.instagram.com/p/B8wPRm_AMjt/?igshid=117y3zz33l7rc …,irrelevant or no opinion
51,1229464850889351168,-99,Ia rhis about Canadian being racist again   Or are you going to actually listen to their concerns about family and friends being tortured under this virus in China,irrelevant or no opinion
52,1220495552753864704,-99,CDC is saying it started from infected snakes being eaten in China.,irrelevant or no opinion
53,1225610920837156864,-2,"Over 60 million quarantined in there homes. Videos have emerged of doors being welded shut and locked shut with people inside. China is not reporting actual numbers, nor does China have any clue how many really dead, sick, dying... Look how quick the numbers growing on the cruise",China and/or Chinese are most incompetent
54,1226135792784822272,-99,"PRESIDENT Obama appointed Republicans, like Jon Huntsman, Ambassador to China.",irrelevant or no opinion
55,1236802605474623488,1,"That said, WHO just announced China had their lowest month of reported cases since the virus outbreak began, so hopefully things can get back up and running sooner rather than later",China and/or Chinese are somewhat competent
56,1227381829008863232,0,Remember the Dickinson State University China student diploma mill situation?   @SecPompeo reminded people to be aware of the Chinese Communist Party (#CCP) trying to infiltrate college campuses. pic.twitter.com/r211ff1mIs,
57,1221610074671439872,-2,"The new corona virus, the statistics so far: 10% , I took into account of the government not including the total numbers. This disease will almost always progress into pneumonia. However, take into account the health and air conditions in china is not very good. #CoronaOutbreak",China and/or Chinese are most incompetent
58,1220119651583217664,2,"No Trump = Open Borders = Destruction of the USA = Russia and China take over the world, as Islam is allowed to take over here = Blood Bath for ALL Whom TRY = American Revolution 2 ... That's the bottom line",China and/or Chinese are most competent
59,1235344054851862528,2,Coronavirus: China steps up employ of robots to war Covid-19 epidemic  https://coronavirusupdates.eu/corona-virus-updates/coronavirus-china-steps-up-employ-of-robots-to-war-covid-19-epidemic/ … #AI #china #ChinaNews #coronavirus #coronaoutbreak #covid19,China and/or Chinese are most competent
60,1227735404398379008,-99,"The UN health agency on Tuesday announced that ""COVID-19"" will be the official name of the deadly #CoronaVirus from China. ReadMore:  https://www.sciencealert.com/who-has-finally-named-the-deadly-coronavirus … #nCoV2019 #CoronaOutbreak #Flu #Epidemic #ChinaFlu #COVID-19 #Wuhan",irrelevant or no opinion
61,1217467713410363392,-99,It's time to stop China's tyranny by stop buying China's stuff.  #BoycottChina #HKPoliceTerrorism #HKPoliceState #HKPoliceTerrorists #hkpolicebrutality #CCP_is_terrorist #StandWithHongKong,irrelevant or no opinion
62,1224869101115494400,1,Check this out from The Times of India Coronavirus treatment: Gilead working with China to test Ebola drug as new Coronavirus cure   https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-treatment-gilead-working-with-china-to-test-ebola-drug-as-new-coronavirus-cure/articleshow/73944384.cms?utm_campaign=andapp&utm_medium=referral&utm_source=native_share_tray … Download the TOI app now: https://timesofindia.onelink.me/efRt/installtoi ,China and/or Chinese are somewhat competent
63,1236471622950928384,-99,"Only if everyone coming here was from the original hot zone. Which they weren't. Not everybody in a country of 1.2 billion had the virus. It took weeks for it to propagate to tens of thousands throught China. So yeah, it's been here in the US for weeks, not months. Bless your ❤.",irrelevant or no opinion
64,1226154086040424448,-99,Check out Vintage Royal Doulton Bone China Penguin Figurines (2)  https://www.ebay.com/ulk/itm/254186406757 … @eBay,irrelevant or no opinion
65,1232814173920382976,-99,"👆🏽#Obama: #American #LEADERSHIP during Ebola, not #AmericaFirst approach—which #Trump has kept saying #China’s “handling” #CoronavirusOutbreak. As he goes LIVE don’t forget his #lies, Admin unpreparedness & 45 more worried abt #StockMarkets & re-election  https://youtu.be/OBSpUuHxNUU 👇🏽",irrelevant or no opinion
66,1231642628795424768,-99,this is suspect math. why are you looking at chinese numbers for coronavirus mortality and comparing them to american numbers for flu mortality? why not look at chinese numbers for flu mortality? the united states and china have different healthcare systems and protocols.,irrelevant or no opinion
67,1222528909738041344,1,"that's why we urge #HongKong govt to close the borders between Hong Kong and China, checking visitors' temperature is not enough",China and/or Chinese are somewhat competent
68,1214629476526645248,-99,"Respectfully disagree. Many departments have professors who teach US political history. Not every department has historians of the rest of the world.  When your department has 5 US historian to every 1 person who works on South Asia, China, or the Middle East something is wrong  https://twitter.com/moshik_temkin/status/1213096204948639749 …",irrelevant or no opinion
69,1229556868051173376,-99,Not all Brits are against China. With all respect Mr. Dixon  Brave Mr Bean impersonator stuck in Wuhan refuses to fly back to Britain in case he spreads coronavirus – The Sun  https://www.thesun.co.uk/news/10940626/coronavirus-mr-bean-impersonator-refuses-leave-wuhan/ …,irrelevant or no opinion
70,1225457877630038016,-99,"#Coronavirus: UK sees rise in racism targeting Asian people after outbreak in China  And @Skynews is helping to feed fears by scaring the 💩 out of people with sensationalised headlines & using images of 'asians in facemasks' to colour the story, idiots! https://news.sky.com/story/coronavirus-uk-sees-rise-in-racism-targeting-asian-people-after-outbreak-in-china-11927470 …",irrelevant or no opinion
71,1214063165333487616,-99,"""Made by a company that runs sweatshops in China""",irrelevant or no opinion
72,1214740602488680448,-99,"@Akam1129 now I should add.  If you were building something small.  Like a gun, and only make a small number.   Do it in a country will huge rare earth resources (like China) and EVERY and every aspect was invented within country?  You could pull off something small.",irrelevant or no opinion
73,1224932619256848384,-99,Wuhan coronavirus outbreak suggests we aren’t ready for a pandemic SEE DETAILS AT ==>  http://SURGICALMASK.vuhere.com  #virus #coronavirus #sars #flu #china #trump #IowaCaucusDisaster pic.twitter.com/ww3pSnhjWt,irrelevant or no opinion
74,1236880262954274816,1,China closes makeshift hospitals as virus cases plunge -  https://tribune.net.ph/index.php/2020/03/09/china-closes-makeshift-hospitals-as-virus-cases-plunge/ …,China and/or Chinese are somewhat competent
75,1230715618401193984,-99,Wow!!! From Mew China FC!!! ❤️❤️❤️ #HappyMewSuppasitDay #MewSuppasit #mewlions https://twitter.com/MewGulf_ChinaFC/status/1230710624096673794 …,irrelevant or no opinion
76,1221889268454428672,-1,So much disinformation from China but just as much from fear mongering people presenting speculation as facts. I get reporting new information but it seems these are just emotional tweets quoting same old tweet below.,China and/or Chinese are somewhat incompetent
77,1237603020147326976,-99,#trade Over 100 Builders Go Bust in China as Virus Strains Deepen  (Bloomberg) -- The coronavirus epidemic is accelerating a shakeout in China’s property sector as a cash crunch forces distressed developers to throw in the towel.With lockdowns across the world’s most-populou…,irrelevant or no opinion
78,1223059485578670080,1,Get Well Soon #Wuhan Hope for the best. Good Luck China govt.,China and/or Chinese are somewhat competent
79,1237041087656706048,1,"Old news , really old news , what about the current news ? Oh that’s right , the last good news was the old news about China and Iran , not shut down because of the virus , but because you don’t like them .The rest of infected countries fly in spreading virus",China and/or Chinese are somewhat competent
80,1230693272596578304,-99,"Coronavirus: China reports 889 new confirmed cases; death toll at 2,236  http://dlvr.it/RQS4dP   http://bit.ly/2wTtJV  pic.twitter.com/ZrDAluMOj9",irrelevant or no opinion
81,1219460124521254912,-99,We Challenged China’s ‘Village Supermodel’ to Make an Outfit on the Spot  https://ift.tt/2Rgg6aN ,irrelevant or no opinion
82,1216726243414028288,-99,#luxury #futureofluxury #shahzadhaider #personalization #brand #niche #nyc #singapore #dubai #florence #losangeles #china #paris pic.twitter.com/7HIAUpKRnM,irrelevant or no opinion
83,1237758340941385728,-99,"It's not racist to refer to #COVID19 as the Chinese Coronavirus. This follows standard naming protocols (West Nile Virus, Ebola, Lyme Disease, etc). Also, there are many different strains of coronaviruses, this one is new and came from China.",irrelevant or no opinion
84,1229028720930951168,-2,Coronavirus: China leader Xi Jinping knew about virus for weeks via /r/worldnews  https://ift.tt/3bIRdfS ,China and/or Chinese are most incompetent
85,1226924330182901760,-2,"Make sure that tag don't say ""Made in China""",China and/or Chinese are most incompetent
86,1230725394099163136,-99,"China has reported an uptick in new cases of coronavirus boosted by more than 200 people testing positive for the disease in two prisons outside of Hubei province, the epicenter of the outbreak.",irrelevant or no opinion
87,1235054321315786752,-99,"#COVID_Record 001 Wuhan,China   Less people are getting infected by #COVID19. Nearly everyone is still quarantined.  Doctor there told me: get enough sleep, eat balanced meal, and and be positive: you need to be prepared for the worst, but live your best life.  #FightCOVID19",irrelevant or no opinion
88,1225855084581543936,0,Our prayers is God shows mercy on China n protect all those infected with the virus #Coronavius #ChinaziVirus,
89,1222323284827570176,-99,"@WBZNightside @ShannonBream  ""DIFICHISPY""? Really? (DI-FI-CHI-SPY).  Even the good Senator (D) WHUHAN PROVINCE, CHINA....is well aware, that going down the path of witnesses, in an unconstitutional IMPEACHCOUP....  pic.twitter.com/oX7SiPkpRr",irrelevant or no opinion
90,1232453311573286912,0,"Yes, true enough.  I've said for ages that every penny we ever saved on cheap crap from China will be repaid with interest in spades one day in the form of huge defense outlays.",
91,1223039073503170560,-99,China postpones 2020 football season over virus fears  https://www.today.ng/o/204347 ,irrelevant or no opinion
92,1225986804085481472,-99,@Chutintorn_Sam @China_Amb_India @drharshvardhan @boomlive_in @ChinaDaily @PDChina https://weather.com/en-IN/india/science/news/2020-02-07-coronavirus-outbreak-china-testing-antiviral-drug-race-find-cure …,irrelevant or no opinion
93,1212347836030947328,-99,Toyota Motor Corp.'s China unit was fined 87.6 million yuan (US$12.5 million) for price fixing.  http://bit.ly/2Q9ru7M  @asiatimesonline,irrelevant or no opinion
94,1220493991591976960,-99,"You're right...join me in demanding the world embrace nuclear energy...but like I said...in your world we need to kill the planet, to save it. Are you really suggesting that there aren't parts of China that may not be inhabitable for 5000 years?",irrelevant or no opinion
95,1233537883358629888,-99,"Dear @SecPompeo you should be very concerned. the Regime is totally indifferent to the spread of COVID-19,  first denied any cases in Iran, continued flights from China even when China had locked down Wuhan! Stop passengers from Iran from entering US. #irancoronavirus",irrelevant or no opinion
96,1237517040442843136,-99,No one is afraid of Chinese ppl. The virus simply originated in China.  https://www.mentalfloss.com/article/30440/12-diseases-and-lucky-places-they%E2%80%99re-named …,irrelevant or no opinion
97,1225947937282199552,0,"oh yes china invented a milder flu with a mortality rate of 2% that mainly the elderly & folks with pre existing medical conditions fall victim to, to be used in what...warfare? hahahahaha.",
98,1214468019944140800,-99,So not sure how many Chinese in China actually see this content. Unless they also upload it to their local platforms.,irrelevant or no opinion
99,1221821342325981184,0,"President Trump, CCP is sending WARS patients to HK on purpose. HK gov have no intention to block Wuhan citizens entering HK. Those China ppl are stealing from HKers healthcare system! Putting locals' life at risk. They should closed the damn border now!  皇天擊殺中共港共  pic.twitter.com/ygLysiQ0MZ",
100,1233500622630084608,-99,US coronavirus patient who was ‘world’s first’ treated with experimental Gilead drug ‘remdesivir’ and recovered | South China Morning Post  https://www.scmp.com/news/world/united-states-canada/article/3050949/us-coronavirus-patient-who-was-worlds-first-treated …,irrelevant or no opinion
101,1227066413086597120,-99,I don't even want to think about what would happen [because knowing what would happen] to the pets trapped in China's lock-down right now. And if it goes down that👇🏻way ... it needs to be exposed.  https://twitter.com/CassandraRules/status/1227045108878577665 …,irrelevant or no opinion
102,1233529128084758528,-99,Couldn’t find cheap enough ones from China before the corona virus hit,irrelevant or no opinion
103,1222921520676249600,-1,"Merck's stocks are tanking,since china got caught following the same sort of criminal behavior as merck and CDC..... NEVER vote for anyone who has merck in their portfolio nor in their donor lists...  https://twitter.com/LotusOak2/status/1221241263548178433 …",China and/or Chinese are somewhat incompetent
104,1224330932586340352,-1,"Even in the face of the Black Plague, China doesn't think it should stop Ppl fr visiting. Stupid.",China and/or Chinese are somewhat incompetent
105,1213818698470961152,-99,Emma the beautiful silver panda from China,irrelevant or no opinion
106,1230574779565924352,-99,elkie on produce china i can't have shit,irrelevant or no opinion
107,1223916955909984256,-99,"I don’t understand the correlations between China the place having a virus and Asian people in general being disgusting, do you know how many different people live in China who probably have it 😭😭😭",irrelevant or no opinion
108,1229777559975596032,0,When are you going to bring manufacturing jobs back? When is your family going to start making product in the US?? How much of your business is imported from China???,
109,1226800097486426112,-99,The worst President & the worse Vice President in modern times. Together w/Hillary Clinton they F*cked this country up big time. The programs put in place just about bankrupted America. BORROWING money (that can never be paid back) from China! And Obama was not born here!  https://twitter.com/ernie_plumley/status/1226729349748903937 …,irrelevant or no opinion
110,1225745538022162432,-1,#China has said unification with #Taiwan since 1949. #China never owns Taiwan. #China is now fraught with #novelcoronavirus2019 . You speech is equivalent to intimidation against Taiwan. This is not allowed in Twitter.  Please call President Tsai.  Please mind your language.,China and/or Chinese are somewhat incompetent
111,1226549761290973184,-99,@JoeBiden I  sent you a tweet before I ended up getting ripped off in China for the same type of hedge fund work that your son was starting up. I don’t understand why you don’t get back to me and tell me who I might be able to work with to get this covered. Maybe Fox News is next,irrelevant or no opinion
112,1214473841436585984,-99,Lisa is really china's it girl. Look at those fans waiting for her. Love you Lisa😘😘😘,irrelevant or no opinion
113,1214926075366707200,-2,"Pompeo was talking about the ""Re-education"" Camps. As the Marx Brothers said, ""Who are going to believe, me or your own eyes?"" USA and world need to disengage from China and bankrupt it. If it means war then so be it. Some things are worth dying for.",China and/or Chinese are most incompetent
114,1222714237618806784,-99,Coronavirus: Japan and US fly citizens home as China death toll jumps  https://www.theguardian.com/world/2020/jan/29/coronavirus-evacuations-begin-as-china-cases-outstrip-sars?CMP=share_btn_tw …,irrelevant or no opinion
115,1214798705984827392,-99,Iran bombing U.S. military base kills at least 80 and injures 200 ——China Central Television  pic.twitter.com/3ovsLevnHB,irrelevant or no opinion
116,1214176459780059136,-99,"Curious about China’s Grand Strategy as a leading global power? TUES 2.11.2020 7PM - Join Patricia Kim, @USIP as she discusses this grand strategy & how the US should manage strategic competition with China going forward.  http://bit.ly/2FrzFWW  @WestminsterSLC @WACAmerica",irrelevant or no opinion
117,1227021893800284160,-99,"Coronavirus deaths in China pass 1,000, WHO says epidemic must not get out of control | CBC News  https://www.cbc.ca/news/world/coronavirus-feb-10-1.5457919?__vfz=medium%3Dsharebar …",irrelevant or no opinion
118,1233419712937308160,-2,#SunYang is a piece of #Communist #ChinaVirus. Perfect example of why the World despise #China.  #SunYangDrugCheat,China and/or Chinese are most incompetent
119,1221093452785627136,2,The Chinese city of Wuhan is set to build a hospital in six days in order to treat patients suspected of contracting the coronavirus @BBCWorld asks How can China build a hospital so quickly?  https://www.bbc.com/news/world-asia-china-51245156 …,China and/or Chinese are most competent
120,1225912737890537472,2,"If we’re being honest, China’s shutdown of Wuhan could never have been replicated elsewhere. Any other country and it would have spread everywhere in no time  https://twitter.com/spectatorindex/status/1225910691078389761 …",China and/or Chinese are most competent
121,1225967127615561728,-99,What about travel issurance coverage for those who had to be quarantined in different country (i.e. not at home)? What about international students who were not allowed to return to universities because they visited China?,irrelevant or no opinion
122,1233311199590150144,-99,"When you arrested and kidnapped all the people who revealed the truth about the Wuhan virus, such as Chen Qiu Shi and Fang Bin, all you left are the lies and propaganda China released. May I suggest you dig deeper into this situation and research who is kidnapped CQS and Fang Bin",irrelevant or no opinion
123,1220753411244621824,-99,"You might feel as if you’re a lightning rod, attracting jolts ... More for Aquarius  http://bit.ly/whBNNw ",irrelevant or no opinion
124,1214392980284542976,0,"Yes, global warming and the dams in Vietnam and China; there’s an immense reliance on the Mekong’s resources.",
125,1221606270580350976,-99,"Published a new blog entry Mike Adams: 300,000+ Fled Wuhan, China By Road As Quarantine Targeted Railways & Ai... http://www.silvergoldadvisor.com/index.php/home/entry/mike-adams-300-000-fled-wuhan-china-by-road-as-quarantine-targeted-railways-airports …",irrelevant or no opinion
126,1236131172075307008,-2,"Meanwhile, in Xi Jinping's ""everything-is-under-control"" China:  https://twitter.com/YaxueCao/status/1235581128582598664 …",China and/or Chinese are most incompetent
127,1221405749861134336,-99,"China isolated 1M muslims, Allah isolated 40M Chinese!",irrelevant or no opinion
128,1218702305136017408,-99,"The article states exactly what I said. Over the history of human- caused CO2 emissions, the US has put the most into the atmosphere.   China and India are gaining ground but to discount the US’s responsibility and handwave away over a century of emissions is disingenuous.",irrelevant or no opinion
129,1217466974164393984,-99,"If this is true, then have a word with the multi national corporations of this world, it’s them doing the damage. Canada and Australia leading exporter of coal, have a word with them, and China for burning it all. We are little people and we are trying, but u need to have a word",irrelevant or no opinion
130,1224668600239296512,-99,"I seriously pity for Africa, especially Nigeria. Oga Roy, if you observe very well, no African country has shut it's doors to China like Iraq, Russia, most EU nations Israel.   Because we are heavily indebted to China.  Africa is vulnerable to contacting this virus soon.",irrelevant or no opinion
131,1214956551980617728,1,via elonmusk: ♥️♥️ Tesla China Team ♥️♥️      Such amazing progress!! $tsla,China and/or Chinese are somewhat competent
132,1235392349892685824,1,When can we buy an i phone that doesn’t have installed spyware from China. #MadeInUSA What will the estimated cost be to buy here? Is the 5G safe? Can you explain that at your town hall with @marthamaccallum thank you We Love President Trump!🇺🇸❤️🇺🇸❤️ #Trump2Q2QLandslide #KAG,China and/or Chinese are somewhat competent
133,1238672298799804416,1,- It was Obama who allowed this covet 19 to be developed as a bio weapon through NCU BSL3 LAB  Until 2015 there was a pause on developing bio weapons on US soil   Obama lifted the pause   also it was paid for by US Tax dollars   through Obama's Admi   then sold to China  pic.twitter.com/rU9VCjjQpd,China and/or Chinese are somewhat competent
134,1224883821327405056,-99,"“I keep my promises,” President Trump says about the USMCA trade deal. “We did our job.” He also talks about the “groundbreaking” phase one China trade deal. #SOTU  https://cnb.cx/2RZvDMv  pic.twitter.com/YqNKTivQ7g",irrelevant or no opinion
135,1214222433718296576,-99,You have China pay for it...,irrelevant or no opinion
136,1223038024725848064,-99,"The main reason for this declaration is not because of what is happening in China, but because of what is happening in other countries.  Our greatest concern is the potential for the virus to spread to countries with weaker health systems & which are ill-prepared to deal with it.",irrelevant or no opinion
