,label,text
110,0,"Published a new blog entry Mike Adams: 300,000+ Fled Wuhan, China By Road As Quarantine Targeted Railways & Ai... http://www.silvergoldadvisor.com/index.php/home/entry/mike-adams-300-000-fled-wuhan-china-by-road-as-quarantine-targeted-railways-airports …"
3307,-2,"How China flooded the U.S. with lethal fentanyl, fueling the opioid crisis  https://yhoo.it/38BH3fm  by @adrianambells pic.twitter.com/t23i3H1Usz"
741,0,"if you think china has too many people now, it’s nowhere near what it would have been like had they not put the one child policy in place"
3482,1,"Please Don't Generalize All of China,   it's only Some ppl in Some places"
2639,-1,"""U.S. Flight Rules on China Visits Will Pose New Airline Challenges"" by Reuters via NYT  https://ift.tt/37TMDJz "
3201,-2,How China’s Political Warfare Traps Us in the Red Matrix  https://youtu.be/vJ4LwWdhymE  via @YouTube
4137,0,Carfentanyl was developed tranqualise & knock down elephants in China and India so they could treat them. 99.9% of humans that try it are dead.
110,-2,"Racism in China is real though, your done and you won't get a job there cos you black"
246,0,China coronavirus outbreak with all these people going to all different  country's I can see it spreading everywhere 14 days is not along time it could show its self later could sit in the body longer before it goes full blown
1427,0,"It's not so simple, either. Many products will say ""Made in USA"" or use wording that makes you think it is. The bulk ingredients for many supplements/drugs/vitamins are made in China, then put together here. If you ask the company they'll never admit to Chinese sourcing directly."
3164,0,"I wonder. Has anyone taken the time, or had the time and resources, to perhaps do some research on China's response to other viral outbreaks and compare them to #coronavirus ? Wish I did as I think it could be enlightening. **Hint hint to the net slouthes out there**."
2831,2,"Say A prayer For #China #Wuhan  I believe China Can Fight This, The World Is Counting On You."
3294,-1,"Then you do it covertly and not risk WW3...  why do it out loud and thump your chest?  Now Iran, China and Russia are running unilateral naval drills.  Sheesh!  Most powerful country on earth and we act like Neanderthals.  Then expect civilized discourse in return SMH"
2440,0,"Frank Amedia promotes a conspiracy theory that the coronavirus was created in a lab in Wuhan, China, that engages in biological warfare research. Amedia praised Sen. Cotton for publicizing the theory, which was debunked, in an interview on Fox News.  https://www.rightwingwatch.org/post/steve-strang-and-frank-amedia-promote-coronavirus-conspiracy-theory/ …"
1946,-1,"How do you define yourself a GOP ... Like Mitch of Moscow or ??? pls name... Conservative?  Trump is one, Mitch or TX Ted - a Canadian Hoax? Think twice, as the ppl of China have no say who is in power..."
2751,1,Stay safe and best wishes for #China . @zlj517 https://twitter.com/zlj517/status/1226792738139471872 …
2880,-2,I’m coming across way too much of this.   China has massacred their own ppl before & it looks like it’s happening again.  This comes off as Hitler esque  https://twitter.com/IbrohimJke/status/1224409509335977984 …
2054,1,Can someone please explain how $CTRP is up more than 15% in the past month during the coronavirus outbreak?  You have to love the Chinese government propping up the system! #ctrip #travel #china #stocks #EM
1135,0,"It's all because India's every thing is manufactured in China. Toy, electronic item, shoes, decorative items, cosmetics, clothes, full baby shops.  Only you will find made in India cover but actually no manufacturing unit in India. All are exported materials."
3134,0,Coronavirus outbreak: Authorities rush to contain fast-spreading outbreak of deadly virus in China  https://quote.plus/kYf  pic.twitter.com/E1Wr2O0VHc
459,-2,#China_is_terrorist #BoycottChina #religionfreedom https://twitter.com/statedeptspox/status/1212116943819485191 …
835,0,Christians in China Courageously Share Gospel in Coronavirus Crisis Zone - Tim Tune  https://www.christianheadlines.com/contributors/tim-tune/chinese-christians-courageously-share-gospel-in-coronavirus-crisis-zone.html … via @christianhlines
843,-1,Oh I get that. I am just saying the media blows it all out of proportion. I was in Kuwait during swine flu and our MO was horrible instead of ruling it out she was ruling it in. Twit. I think there is much more then we know. China is not transparent at all. 👍  pic.twitter.com/tKlcwtJZB3
937,0,Tahir. I dont believe that America will sign peace accord. America never like peace in Afghanistan as Afghan crises provide opportunty to him to remain in this Region for China and Russia.
469,0,Can we give him to China or someone
2936,-1,"If you dig into social media a little, the ‘apparent ‘ truth of what is taking place in China, the inaction by the WHO, various governments, etc starts to get a fella’s mind to wondering.  Given that context, this just seems really,  REALLY out of place for the NHL.  So why?"
1087,-2,China knew about virus weeks prior  http://a.msn.com/01/en-au/BB102KRS?ocid=st2 … That shouldn't surprise anyone. They have a long history of being dangerous sneaky bastards.
3765,-1,"Sereno calls for action against the government's ""Manchurian"" policy that favors China over the Philippines' own interests. #LawfarePH #StopLawfare | via @JCGotinga"
3481,0,Coronavirus: At least four dead in China quarantine hotel collapse – BBC News  https://tipsnews.info/coronavirus-at-least-four-dead-in-china-quarantine-hotel-collapse-bbc-news/ … via @Tipsnews2020
3938,-2,"CHINA BARRICADING PEOPLE ** IN ** INFECTED CITIES!  Roads being Blocked with Piles of Dirt, Phone Lines off, Hospitals OUT of Supplies  https://halturnerradioshow.com/index.php/en/news-page/world/china-barricading-people-in-infected-cities-roads-being-blocked-with-piles-of-dirt-phone-lines-off-hospitals-out-of-supplies …"
2127,1,China's most populous province to loosen grip on internal migration  http://dlvr.it/RN1Jxj  pic.twitter.com/o7CdAvAdxt
3031,2,Happy #ChineseNewYear!  #TeamCrowd #China #YearOfTheRat #GlobalAgency pic.twitter.com/Z8hSOGuohN
2441,-1,"#SouthKorea confirms 346 people in the country infected with #coronavirus. Forget about #China and their fake ""official"" number of cases. This virus is spreading incredible fast."
3318,-1,"Hard to come to conclusions, we have no idea how many of the severe china cases are older cases, and the outside china cases are likely newer cases and death due to complications caused by the virus could still rise over time, on the flip side, outside china likely better care"
3378,-2,China says Taiwan still belongs to it despite Tsai Ing-wen re-election – EAST AUTO NEWS  https://eastautonews.com/china-says-taiwan-still-belongs-to-it-despite-tsai-ing-wen-re-election-east-auto-news/ … pic.twitter.com/7BdxcyVUgY
2345,-1,I do people in China & Iran keep logging into my uber account ??????????  pic.twitter.com/pAIKXQh33A
3187,-2,"Bolton Reportedly Raised Alarm About Trump Granting Favors To China, Turkey Leaders  http://dlvr.it/RNt87m  pic.twitter.com/mcer6eoLBv"
2944,0,China lies for what? You guys prefer to believe that China is lying and killing its own people right? You guys enjoy every thing about demonizing China and Chinese people. You know what? China will be more strong and great than before after this crisis. Let's see  https://twitter.com/trish_regan/status/1220888235385245696 …
725,2,in China you reopen your business you are given tax incentives. other countries they encourage investors .in Kenya they come with new system and back dates so that @KRACare they make revenue from penalties 😞
3766,-1,"Mitsubishi Electric discloses data breach, media blame China-linked APT  (via @CSecurityAlerts #Cybersecurity News) http://go.newsfusion.com/security/item/1579392 …"
3680,0,"Coronavirus Upends Travel Within and Outside of China  https://nationalinterest.org/sites/default/files/styles/resize-1440/public/main_images/IMG_5450 … copy_0.jpg?itok=DUK9q_EL Coronavirus Upends Travel Within and Outside of China  Mitchell Blatt Coronavirus, Asia   Unreal ...  pic.twitter.com/dHvGfmVTcw"
3499,0,So they fucked their own economy and started a pandemic to end some protests? That’s quite the spicy take. If China was so worried about the protests they would have just sent in the military Tiananmen Square style
3158,-1,中文 | #Stigmabase — Academics have called on China to phase out its university enrollment ... in the big cities…  https://goo.gl/fb/SaHJfm 
1165,-1,Worse. You don’t just quarantine a city of 11 million. It would seem there is big trouble in little China
906,-2,WW3... The world against China.  I'm down with that.
1944,1,"China's #HongKong said on Tue that it has assisted 487 overseas and Mainland companies to set up or expand in the city in 2019, #highest number of all time pic.twitter.com/I0n20hOqzs"
2333,1,"and Vietnam for example. There are outside observers in China, and China cooperates with them.   China’s history most likely suggests they kept a lid on things earlier until they couldn’t any longer. They are an authoritarian state with a lot of problems, but we have good reason"
4020,1,"haruto is the most followed member among treasure with almost 9k followers (haruto china bar), trending on weibo’s rising superstar talk at 34th place along with famous chinese idols and Treasure at 38th place,, the power screams roty 2020💆‍♀️💅🏻 #트레저 #TREASURE @ygtreasuremaker pic.twitter.com/QUGCVyPVmI"
2514,-1,"As New Coronavirus Spread, China’s Old Habits Delayed Fight  https://nyti.ms/37Q9QMy "
3508,-2,"China looks like the future of America. When government gets in bed with corporations and creates state sponsored monopolies, it limits the choice of the consumer. And then when those corporations bend to the government’s will, we lose a lot of freedom."
2986,-1,corona is enough to defeat china
1155,-2,Why is China so afraid of the facts being made known?  It's no shame to be struggling in a crisis. The only shame is in silencing those who speak out.
2531,1,Heartbroken Families Trying To Adopt Children In China Are Facing Indefinite Delays Due To…  https://goo.gl/fb/erNRAU 
1615,-2,What if china are sending bio bombs😳
3871,-2,"Trump opened us up to this, and the GOP enabled it by condoning his behaviour and downplaying his requests for foreign interference as a joke. China saw Russia benefitted and did not really pay a price, so they want in the game.  https://twitter.com/joshrogin/status/1220771887896322050 …"
3570,-2,"China's top virus lab is in Wuhan, the center of the outbreak  https://mol.im/a/7922379  via @MailOnline"
305,-2,"I was speaking only about the picture and survey in question - not the current Iran situation. Like it or not, the US keeps those dictators in check so it looks like they are passive or peaceful. Imagine a world in which the dominant power is Iran, China, Russia, or North Korea."
4041,-2,"And it is time for a regime change in China...Chinese People deserve democracy, they deserve to be free from Communism. #coronavirus"
774,1,The hottest dining experience in China is now taking over in L.A.’s biggest Chinese communities.   https://www.latimes.com/food/story/2020-01-24/hot-pot-sichuan-san-gabriel-valley …
2255,0,China's Shenzhen proposes ban on eating cats and dogs amid coronavirus outbreak.... #China #Shenzhen #Coronavirus #Cats #Dogs #COVID19 #COVID2019 #Covid_19 #CoronavirusOutbreak https://thepigeonexpress.com/chinas-shenzhen-proposes-ban-on-eating-cats-and-dogs/ …
3515,-2,I think China should appologise to the world for infecting multipel countrys with the Corona Virus
917,-2,"Racism in China is real though, your done and you won't get a job there cos you black"
953,0,President of China Xi Jinping said after coronavirus outbreak the country is facing a difficult situation - कोरोनावायरस फैलने पर बोले चीन के राष्ट्रपति शी जिनपिंग- देश मुश्किल स्थिति का समाना कर रहा है  https://www.livehindustan.com/international/story-president-of-china-xi-jinping-said-after-coronavirus-outbreak-the-country-is-facing-a-difficult-situation-2984023.html …
986,-2,The deal is not any better than what we had 2 years ago. China is definitely buying some time to see how the elections will go in Nov.
4023,-1,You people that buy things from China online and ship it down here. Please don’t be unfortunate by bringing corona virus to Nigeria. Let’s be guided
186,-2,"The world's biggest  ""Big Brother"" communist criminal Xi Jinping *was* directly responsible for releasing the corona virus to the world from their lab in Wuhan where the leading health officer died recently!   https://nypost.com/2020/02/22/dont-buy-chinas-story-the-coronavirus-may-have-leaked-from-a-lab/ … #china #bigbrother #evilChina #coronavirus"
2346,1,Made in China?😁
2529,-1,"Hey China, if you’re listening...we have some laundry that needs air:  https://twitter.com/AdamSerwer/status/1237199123117494273 …"
2856,-2,"I have seen video from China where the iron gates have been wielded, mud and stone dumped outside the house gates, and other such acts, to trap people inside the houses."
4186,-1,China central bank policy also like in Japan without any effect. Liquidity trap. Currency turmoil ahead
129,-1,When can we buy an i phone that doesn’t have installed spyware from China. #MadeInUSA What will the estimated cost be to buy here? Is the 5G safe? Can you explain that at your town hall with @marthamaccallum thank you We Love President Trump!🇺🇸❤️🇺🇸❤️ #Trump2Q2QLandslide #KAG
899,0,"It doesn't look like she's politicizing or using the issue to her benefit. It's better than listening to Duque who is more concerned on what China would say than the welfare of Filipinos. Better than ""Not this time"" argument of Duterte yesterday on banning the Chinese issue."
4030,0,Are you saying China would lie to us? Bite your tongue.
642,-2,Cats are cooked alive in China  https://www.sosvox.org/s/cvKj?shrhash=e413821c902de62221efdb15ed12d2b4-ebea5c34cbb3d48da47fa74451a7d7c9 … via @sosvox
2598,-1,#BREAKING: The Whole City of #Wuhan #China has been #Quarantined!! & What Created the #CoronaVirus!? #wuhanquarantine #WuhanOutbreak #ChinaCoronaVirus #CoronavirusOutbreak  https://www.youtube.com/watch?v=Nq5thNvsXJs&feature=youtu.be …
406,-1,"Also, Hong Kong has been existing for the last 6000 years but was incorporated into China during the Qin dynasty, about 3rd century B.C. So from that point of view as well, it hasn't always been a part of China."
3101,-2,#Katyayan #China #China_is_terrorist #China_kills_Muslims Economic Times: How are China's neighbors combating the PLA Navy?.  https://economictimes.indiatimes.com/news/defence/how-are-chinas-neighbors-combating-the-pla-navy/articleshow/73133369.cms?UTM_Source=Google_Newsstand&UTM_Campaign=RSS_Feed&UTM_Medium=Referral …  via @GoogleNews
2878,-2,Dairy farmer slams government for handing milk contract to China  https://mol.im/a/7914823  via @MailOnline
491,1,"I guess every once in a while, something that's ""made in china"" breaks its stereotype and a thing of quality is produced instead."
3474,-2,"Given that China has no free press, those who doubt the wisdom or proportionality of expelling Chinese journalists in the US might at least try to explain to the rest of us what they think they are doing there?"
3362,-1,"Two cruisers of Imperial China’s Navy in the 1880s, Yang Wei and Chao Yung, carried the heaviest armament for any vessels of their size. But all ended in tragedy when they met the Japanese Navy in combat in 1895. Click:  http://bit.ly/2TpXsPg  #NavalHistory #MaritimeHistory pic.twitter.com/3atRZvxNYn"
3303,-2,"Must they Eat everything they see🤦😩 🚸✍🏻🚨 The animal that transmitted the #coronavirus to the identified human? The #pangolin is the missing link! .  By eating it, the Chinese were infected, the Southern Agriculture University of #China reported. . .  pic.twitter.com/xCn9tavLjx"
396,0,@DiamondandSilk hey girls I was just thinking why don't they just send ballots to Russia and China and have them vote for next American president if you don't have to be a citizen it doesn't matter does it
3004,0,"Josh believes it not possible China is working in bioengineering diseases like #coronvirus #ChinaVirus #chinaoutbreak  Please name the long history of new pathogens jumping from Animals to Humans and killing thousands.  Don't trouble urself, just name the last 5 viruses that did https://twitter.com/joshtpm/status/1226584947252760578 …"
2111,0,"""The West may not like China’s authoritarian state capitalism, but it must get its own house in order... The current US administration lacks any such strategic vision. The protectionist, unilateralist, illiberal Trump... will “Make China Great Again.”""  https://www.project-syndicate.org/commentary/us-china-strategic-rivalry-decoupling-by-nouriel-roubini-2019-12 …?"
2073,-1,"Interesting data: China's asks for @Apple user data doubled in first half of last year. Evidence of ever more surveillance.   Even more interesting: the US was previously number one, but now China is (slightly) ""ahead"" h/t @technodechina @ChrisUdemans pic.twitter.com/Ft5EBdo1pz"
485,0,How many wars has China started in the last 30 years as compared to the US? Which of the 2 countries deploys military troops all over the world? The facts speak for itself.
3414,0,For China they could’ve used this mask and for every other country used  a more skeletal mask
1277,2,"A team from Georgia Tech, Penn State and China present a method that could lead to better, safer batteries.  The researchers found a way to grow and observe lithium whiskers and dendrites.   https://pvbuzz.com/method-that-could-lead-to-better-safer-batteries/ …"
856,-2,"Everybody with #coronarvirues in China is becoming the same dust as Uyghur Muslims. look you all have the same fate, Death.   ""بے شک کائنات میں بہت سی نشانیاں ھیں، سوچنے والوں کے لئے""   القرآن."
2049,1,Actually the world was fighting Britain’s allies were India the West Indians every country in the Middle East Pakistan Bangladesh China I could go on but there’s so many countries fighting the Germans..👍🏻  https://twitter.com/ashlea_robyn/status/1218141483494146048 …
1054,-2,"Russia and China are undoubtedly at the top of this list. The US, even if it goes to war in Iran, isn't causing 'world war 3'."
2502,-2,"But what US did not do is to arrest people for “rumor mongering”. The US media criticized the government before u. Where in China in nobody dares to talk about the epidemic, Scapegoat strategy is used. Criminals dont get to judge others."
4025,0,Sounds like he’s not to smart or not listening it’s clearly because of the corona virus 🦠 which is what the markets are saying & it’s because so many of our large corporations depend on cheap labor & goods from China it’s as simple as that  https://twitter.com/justinbaragona/status/1231972713574653952 …
2080,-1,"If @JoeBiden or any of the other loon Democrats were in charge of this outbreak, we’d all be in our graves. @realDonaldTrump is right. It’s a foreign virus spread here from China. All of his responses were responsible and too the point. (1/1)  https://twitter.com/GeraldoRivera/status/1238163074567323648 …"
3742,-2,China - people republic of incompetency #wuhan #ChinaVirus
3286,1,China has issued a record number of force majeure certificates to exempt local exporters from fulfilling contracts. But the effort to staunch economic fallout from the cornoavirus outbreak could undermine Beijing’s credibility  https://on.ft.com/2I1iyML 
3607,-1,In the past three years US has been the intimidator abandoning allies(Kurds) and ripping up treaties(Iran). China has... offered business loans. Times change and do do relationships.
2994,-1,"In China, an 11-year-old girl was raped violently by a 20-year-old man.  The man was sentenced to three years in jail but did not have to stay in prison.  The girl's parents are despairing about the judiciary   https://twitter.com/chanceduoduo/status/1232544656111439872?s=21 … https://twitter.com/ChanceDuoDuo/status/1232544656111439872 …"
1362,0,Have you sent some of your DNA samples to create a super vaccine and save the communist republic of China single handedly?!!!
3770,0,"For Tesla, Q1 deliveries of 85-90K (35-43%) versus 63K a year ago would be very decent given the Coronavirus tragedy in China."
